S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,KIREN RIJIJU,Bharatiya Janata Party,196415,9002,205417,51.38
2.0,NABAM TUKI,Indian National Congress,100100,4579,104679,26.18
3.0,TECHI RANA,Independent,31106,2208,33314,8.33
4.0,TOKO SHEETAL,Gana Suraksha Party,27670,2860,30530,7.64
5.0,BIMPAK SIGA,Independent,10569,949,11518,2.88
6.0,RUHI TAGUNG,Independent,7559,262,7821,1.96
7.0,LEKI NORBU,Independent,2139,132,2271,0.57
8.0,TANIA JUNE,Independent,1920,38,1958,0.49
9.0,NOTA,None of the Above,2133,163,2296,0.57
,Total,,379611,20193,399804,
