S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,VARUN CHAUDHRY,Indian National Congress,662592,1065,663657,49.28
2.0,BANTO KATARIA,Bharatiya Janata Party,613786,835,614621,45.64
3.0,PAWAN RANDHAWA,Bahujan Samaj Party,23535,48,23583,1.75
4.0,GURPREET SINGH,Indian National Lok Dal,8902,84,8986,0.67
5.0,KAMAL KUMAR BARARA,Aazad Samaj Party (Kanshi Ram),8741,13,8754,0.65
6.0,KIRAN PUNIA,Jannayak Janta Party,6055,37,6092,0.45
7.0,RAKESH KUMAR,Haryana Jansena Party,3110,1,3111,0.23
8.0,BALJEET SINGH,Bharatheeya Jawan Kisan Party,2459,43,2502,0.19
9.0,MEHAR SINGH CHALIA,Ekam Sanatan Bharat Dal,2383,14,2397,0.18
10.0,GULAB SINGH NARWAL,Peoples Party of India (Democratic),1683,7,1690,0.13
11.0,SURAJ KUMAR,Bahujan Mukti Party,1501,5,1506,0.11
12.0,MOHAR SINGH STATION MASTER (RETD.),Independent,1257,6,1263,0.09
13.0,BETA MAM CHAND RATTUWALA,Bharatiya Yuva Jan Ekta Party,1248,3,1251,0.09
14.0,DR. NITESH CHOPRA (HONEY),Bhartiya Shakti Chetna Party,854,3,857,0.06
15.0,NOTA,None of the Above,6427,25,6452,0.48
,Total,,1344533,2189,1346722,
