S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,K. SUDHAKARAN,Indian National Congress,512266,6258,518524,48.74
2.0,M.V. JAYARAJAN,Communist Party of India (Marxist),402614,6928,409542,38.5
3.0,C. RAGHUNATH,Bharatiya Janata Party,118352,1524,119876,11.27
4.0,RAMACHANDRAN BAVILEERI,Bharatheeya Jawan Kisan Party,2606,43,2649,0.25
5.0,K. SUDHAKARAN S/O. KRISHNAN,Independent,990,19,1009,0.09
6.0,SUDHAKARAN. K S/O. P GOPALAN,Independent,893,3,896,0.08
7.0,JOY JOHN PATTAR MADATHIL,Independent,616,2,618,0.06
8.0,JAYARAJ,Independent,478,10,488,0.05
9.0,JAYARAJAN S/O. VELAYUDHAN,Independent,421,4,425,0.04
10.0,VADI HAREENDRAN,Independent,289,54,343,0.03
11.0,C. BALAKRISHNAN YADAV,Independent,279,25,304,0.03
12.0,NARAYANA KUMAR,Independent,263,45,308,0.03
13.0,NOTA,None of the Above,8718,155,8873,0.83
,Total,,1048785,15070,1063855,
