S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,SMITA UDAY WAGH,Bharatiya Janata Party,672119,2309,674428,57.67
2.0,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),421213,1621,422834,36.15
3.0,YUVRAJ JADHAV (SAMBHA AAPPA),Vanchit Bahujan Aaghadi,21062,115,21177,1.81
4.0,EX-HAVILDAR ISHWAR DAYARAM MORE,Sainik Samaj Party,7479,69,7548,0.65
5.0,VILAS SHANKAR TAYADE,Bahujan Samaj Party,6310,71,6381,0.55
6.0,LALIT (BANTI) SHARMA,Independent,4189,3,4192,0.36
7.0,KARAN PAWAR,Independent,3954,29,3983,0.34
8.0,ADVOCATE VIJAY BABULAL DANEJ,Independent,3400,4,3404,0.29
9.0,MUKESH MULCHAND KOLI,Independent,3358,12,3370,0.29
10.0,MAHENDRA DEVRAM KOLI,Independent,2462,14,2476,0.21
11.0,AHMAD KHAN,Independent,1889,12,1901,0.16
12.0,ABDUL SHAKUR DESHPANDE,Independent,1593,13,1606,0.14
13.0,ADV. NAMDEO PANDURANG KOLI,Independent,1212,12,1224,0.1
14.0,PATIL SANDIP YUVRAJ,Independent,1098,12,1110,0.09
15.0,NOTA,None of the Above,13878,41,13919,1.19
,Total,,1165216,4337,1169553,
