S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,AVIMANYU SETHI,Bharatiya Janata Party,569705,3614,573319,44.19
2.0,MANJULATA MANDAL,Biju Janata Dal,480105,1670,481775,37.13
3.0,ANANTA PRASAD SETHI,Indian National Congress,221020,854,221874,17.1
4.0,KIRTAN BIHARI MALIK,Socialist Unity Centre Of India (COMMUNIST),4879,1,4880,0.38
5.0,ADV. ARJUN CHARAN MALLIK,Bahujan Samaj Party,3581,23,3604,0.28
6.0,ANJAN DAS,Ambedkarite Party of India,3512,5,3517,0.27
7.0,BASANTA KUMAR MAHALIK,Independent,1527,3,1530,0.12
8.0,SARBESWAR BEHERA,Independent,1397,3,1400,0.11
9.0,NOTA,None of the Above,5457,21,5478,0.42
,Total,,1291183,6194,1297377,
