S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,RUDRA NARAYAN PANY,Bharatiya Janata Party,593907,4814,598721,50.24
2.0,ABINASH SAMAL,Biju Janata Dal,520144,2010,522154,43.82
3.0,SASHMITA BEHERA,Indian National Congress,34052,678,34730,2.91
4.0,PRAFULLA KUMAR NAIK,Bahujan Samaj Party,4850,45,4895,0.41
5.0,MAHESWAR SAHOO,Independent,4614,15,4629,0.39
6.0,MANASI SWAIN,Socialist Unity Centre Of India (COMMUNIST),3376,8,3384,0.28
7.0,PRIYABRATA GARNAIK,Independent,2904,5,2909,0.24
8.0,JANARDAN NAIK,Independent,2647,6,2653,0.22
9.0,KAILAS CHANDRA PRADHAN,Independent,2205,8,2213,0.19
10.0,SWAPNA RANI JAMES,Utkal Samaj,1603,5,1608,0.13
11.0,NOTA,None of the Above,13731,46,13777,1.16
,Total,,1184033,7640,1191673,
