S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,SARMISTHA SETHI,Biju Janata Dal,529428,3224,532652,45.87
2.0,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,528959,5280,534239,46.01
3.0,ANCHAL DAS,Indian National Congress,52455,690,53145,4.58
4.0,SUBASH CHANDRA MALLIK,Socialist Unity Centre Of India (COMMUNIST),17955,52,18007,1.55
5.0,ER. SANDHYA RANI MALLICK,Bahujan Samaj Party,3189,29,3218,0.28
6.0,BHAIRABA PRASAD BEHERA,Independent,2398,5,2403,0.21
7.0,SUMANTA MALIK,Independent,2295,6,2301,0.2
8.0,BIDYADHAR DALEI,Ambedkarite Party of India,2172,-,2172,0.19
9.0,JHUNA MALIK,Manas Lokshakti Dal,2075,2,2077,0.18
10.0,ARTTATRANA MALIK,Independent,1234,18,1252,0.11
11.0,NARENDRA MALIKA,Independent,1119,-,1119,0.1
12.0,MANTU SETHI,Janta Darbar Party,954,2,956,0.08
13.0,BINOD KUMAR JENA,Gana Suraksha Party,876,3,879,0.08
14.0,NOTA,None of the Above,6738,50,6788,0.58
,Total,,1151847,9361,1161208,
