S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,DM KATHIR ANAND,Dravida Munnetra Kazhagam,566435,2257,568692,50.35
2.0,AC SHANMUGAM,Bharatiya Janata Party,350956,2034,352990,31.25
3.0,DR S PASUPATHI,All India Anna Dravida Munnetra Kazhagam,116964,718,117682,10.42
4.0,D MAHESH ANAND,Naam Tamilar Katchi,52707,577,53284,4.72
5.0,A NATARAJAN,Bharatiya Praja Aikyata Party,3982,23,4005,0.35
6.0,SHANMUGAVELU,Independent,3570,6,3576,0.32
7.0,MANSOOR ALI KHAN,Independent,2769,35,2804,0.25
8.0,SYED ALI D,Independent,2121,3,2124,0.19
9.0,P SHANMUGAM,Independent,2037,2,2039,0.18
10.0,NAGARAJ P,Independent,1948,11,1959,0.17
11.0,K JAYAMANI,Bahujan Samaj Party,1684,18,1702,0.15
12.0,D SARAVANAN,Independent,1497,-,1497,0.13
13.0,MP SHANMUGAM,Independent,859,9,868,0.08
14.0,N SIVAKUMAR,Independent,701,-,701,0.06
15.0,AFROSE,Independent,672,1,673,0.06
16.0,A BEEMARAO MILINTHAR,United Republican Party of India,667,3,670,0.06
17.0,DR S JAYARAJ,Independent,659,2,661,0.06
18.0,K SHANMUGAM,Independent,601,15,616,0.05
19.0,V KALIAPERUMAL,Ganasangam Party of India,594,6,600,0.05
20.0,G SHANMUGAM,Independent,560,12,572,0.05
21.0,PP JAYAPRAKASH,Independent,455,6,461,0.04
22.0,PASUPATHI,Independent,407,8,415,0.04
23.0,S WILLIAM SATHYARAJ,Tamil Manila Murpokku Dravida Kazhagam,373,4,377,0.03
24.0,M BABU,Independent,303,3,306,0.03
25.0,B JAGAN,Independent,282,3,285,0.03
26.0,AHMED RAASHID PALLIMIRA,Independent,271,2,273,0.02
27.0,SHANMUGASUNDARAM,Independent,250,1,251,0.02
28.0,C MADHAVAN,Independent,201,1,202,0.02
29.0,T JOHNSON,Independent,174,-,174,0.02
30.0,E RAJKUMAR,Independent,129,4,133,0.01
31.0,C RAMACHANDHIRAN,Independent,128,2,130,0.01
32.0,NOTA,None of the Above,8669,67,8736,0.77
,Total,,1123625,5833,1129458,
