S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,KISHORI LAL,Indian National Congress,536680,2548,539228,54.99
2.0,SMRITI IRANI,Bharatiya Janata Party,370754,1278,372032,37.94
3.0,NANHE SINGH CHAUHAN,Bahujan Samaj Party,34418,116,34534,3.52
4.0,SURENDRA KUMAR,Independent,5699,-,5699,0.58
5.0,DINESH CHANDRA MAURYA,Janshakti Samta Party,4569,8,4577,0.47
6.0,JAGDAMBA PRASAD YADAV,Independent,4019,1,4020,0.41
7.0,BHAGWANDIN PASI,Moulik Adhikar Party,2333,1,2334,0.24
8.0,CHANDRAWATI,Independent,2278,13,2291,0.23
9.0,MOHD HASAN LAHRI,Rashtriya Narayanwadi Vikas Party,1525,2,1527,0.16
10.0,KHUSHIRAM,Independent,1401,-,1401,0.14
11.0,UDAYRAJ,Independent,1300,5,1305,0.13
12.0,SANTRAM,Samajhdar Party,1208,4,1212,0.12
13.0,SHAILENDRA KUMAR MISHRA,Sanyogwadi Party,1124,4,1128,0.12
14.0,NOTA,None of the Above,9371,12,9383,0.96
,Total,,976679,3992,980671,
