S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,614832,1301,616133,47.31
2.0,ANNU TANDON,Samajwadi Party,577699,2616,580315,44.56
3.0,ASHOK KUMAR PANDEY,Bahujan Samaj Party,72245,282,72527,5.57
4.0,SAIF KHAN,Parcham Party of India,8390,14,8404,0.65
5.0,UMESH,Independent,5625,10,5635,0.43
6.0,SHIV PRAKASH SINGH,Independent,4107,11,4118,0.32
7.0,SAIYYAD SARFARAZ GANDHI,Independent,3018,5,3023,0.23
8.0,HIMANSHU SHARMA,Bhartiya Shakti Chetna Party,2656,7,2663,0.2
9.0,NOTA,None of the Above,9430,23,9453,0.73
,Total,,1298002,4269,1302271,
