S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,BAPI HALDAR,All India Trinamool Congress,752486,3245,755731,50.52
2.0,ASHOK PURKAIT,Bharatiya Janata Party,552798,1876,554674,37.08
3.0,AJAY KUMAR DAS,All India Secular Front,87530,76,87606,5.86
4.0,DR SARAT CHANDRA HALDER,Communist Party of India (Marxist),60778,322,61100,4.08
5.0,BAPI HALDER,Independent,8922,12,8934,0.6
6.0,BAPI HALDAR,Independent,5607,19,5626,0.38
7.0,BISWANATH SARDAR,Socialist Unity Centre Of India (COMMUNIST),4505,29,4534,0.3
8.0,PANKAJ KUMAR HALDER,Bahujan Samaj Party,4238,19,4257,0.28
9.0,ASHOKE PUROKAIT,Independent,1489,12,1501,0.1
10.0,ASHOKE SARDAR,Independent,1474,27,1501,0.1
11.0,BAPPA DAS,Party for Democratic Socialism,1203,6,1209,0.08
12.0,RUDRA PRASAD MANDAL,Mulnibasi Party of India,707,13,720,0.05
13.0,NOTA,None of the Above,8593,38,8631,0.58
,Total,,1490330,5694,1496024,
