S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,ABU TAHER KHAN,All India Trinamool Congress,681674,768,682442,44.27
2.0,MD SALIM,Communist Party of India (Marxist),517733,494,518227,33.62
3.0,GOURI SANKAR GHOSH,Bharatiya Janata Party,291013,1018,292031,18.94
4.0,HABIB SAIKH,All India Secular Front,12359,11,12370,0.8
5.0,ASIM RAY,Bhartiya Lokmat Rashtrwadi Party,5522,12,5534,0.36
6.0,SAHABUDDIN MALLIK,Independent,4156,-,4156,0.27
7.0,RAFIKUL ISLAM,Independent,4064,1,4065,0.26
8.0,MAHAFUJUL ALAM,Socialist Unity Centre Of India (COMMUNIST),3423,3,3426,0.22
9.0,MD TAIEDUL ISLAM,Social Democratic Party Of India,3291,2,3293,0.21
10.0,DHANANJOY SARKAR,Independent,1535,4,1539,0.1
11.0,KRISHNA PROSAD BISWAS,Independent,1197,9,1206,0.08
12.0,NOTA,None of the Above,13249,21,13270,0.86
,Total,,1539216,2343,1541559,
