S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,KALYAN BANERJEE,All India Trinamool Congress,671865,2105,673970,45.65
2.0,KABIR SHANKAR BOSE,Bharatiya Janata Party,497720,1420,499140,33.8
3.0,DIPSITA DHAR,Communist Party of India (Marxist),238131,1015,239146,16.2
4.0,SAHARIAR MULLICK (BAPI),All India Secular Front,25659,18,25677,1.74
5.0,SUNDAR PATRA,Independent,9897,5,9902,0.67
6.0,SASANKA CHAKRABORTY,Independent,3933,5,3938,0.27
7.0,SUPRIYA BISWAS,Bahujan Samaj Party,3572,17,3589,0.24
8.0,KALYAN PAUL,Independent,1749,9,1758,0.12
9.0,PRADYUT CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),1671,9,1680,0.11
10.0,KALYAN SAMANTA,Independent,1421,19,1440,0.1
11.0,SARKAR MANGAL,Bahujan Maha Party,1256,2,1258,0.09
12.0,NOTA,None of the Above,14964,70,15034,1.02
,Total,,1471838,4694,1476532,
