Candidate,Party,Total Votes,Postal Votes,EVM Votes,% of Votes,State,Constituency
BHAGIRATH CHOUDHARY,Bharatiya Janata Party,747462.0,6311,741151.0,62.23,Rajasthan,AJMER
BHUPENDER YADAV,Bharatiya Janata Party,631992.0,7882,624110.0,50.42,Rajasthan,ALWAR
VARUN CHAUDHRY,Indian National Congress,663657.0,1065,662592.0,49.28,Haryana,AMBALA
MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,521836.0,4347,517489.0,50.85,Jammu and Kashmir,ANANTNAG-RAJOURI
S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,563216.0,2638,560578.0,48.39,Tamil Nadu,ARAKKONAM
THARANIVENTHAN M S,Dravida Munnetra Kazhagam,500099.0,3016,497083.0,43.86,Tamil Nadu,ARANI
GODAM NAGESH,Bharatiya Janata Party,568168.0,9232,558936.0,45.98,Telangana,Adilabad
PROF S P SINGH BAGHEL,Bharatiya Janata Party,599397.0,2336,597061.0,53.34,Uttar Pradesh,Agra
HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,770459.0,7431,763028.0,68.28,Gujarat,Ahmedabad East
DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,611704.0,5159,606545.0,63.28,Gujarat,Ahmedabad West
NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,624797.0,2653,622144.0,47.14,Maharashtra,Ahmednagar
DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,517423.0,3167,514256.0,47.6,Uttar Pradesh,Akbarpur
ANUP SANJAY DHOTRE,Bharatiya Janata Party,457030.0,2058,454972.0,38.96,Maharashtra,Akola
K. C VENUGOPAL,Indian National Congress,404560.0,6314,398246.0,38.21,Kerala,Alappuzha
K.RADHAKRISHNAN,Communist Party of India (Marxist),403447.0,4629,398818.0,40.66,Kerala,Alathur
SATISH KUMAR GAUTAM,Bharatiya Janata Party,501834.0,1381,500453.0,44.28,Uttar Pradesh,Aligarh
MANOJ TIGGA,Bharatiya Janata Party,695314.0,3781,691533.0,48.92,West Bengal,Alipurduars
UJJWAL RAMAN SINGH,Indian National Congress,462145.0,1045,461100.0,48.8,Uttar Pradesh,Allahabad
AJAY TAMTA,Bharatiya Janata Party,429167.0,11632,417535.0,64.2,Uttarakhand,Almora
G M HARISH (BALAYOGI),Telugu Desam,796981.0,10832,786149.0,61.25,Andhra Pradesh,Amalapuram (SC)
LALJI VERMA,Samajwadi Party,544959.0,1238,543721.0,46.3,Uttar Pradesh,Ambedkar Nagar
KISHORI LAL,Indian National Congress,539228.0,2548,536680.0,54.99,Uttar Pradesh,Amethi
BALWANT BASWANT WANKHADE,Indian National Congress,526271.0,2135,524136.0,44.84,Maharashtra,Amravati
BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,580872.0,3052,577820.0,66.28,Gujarat,Amreli
GURJEET SINGH AUJLA,Indian National Congress,255181.0,767,254414.0,28.18,Punjab,Amritsar
KANWAR SINGH TANWAR,Bharatiya Janata Party,476506.0,1296,475210.0,42.9,Uttar Pradesh,Amroha
C.M.RAMESH,Bharatiya Janata Party,762069.0,12042,750027.0,57.5,Andhra Pradesh,Anakapalle
MITESH PATEL (BAKABHAI),Bharatiya Janata Party,612484.0,5090,607394.0,52.44,Gujarat,Anand
MALVINDER SINGH KANG,Aam Aadmi Party,313217.0,976,312241.0,29.08,Punjab,Anandpur Sahib
AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,768245.0,12383,755862.0,53.33,Andhra Pradesh,Ananthapur
BISHNU PADA RAY,Bharatiya Janata Party,102436.0,254,102182.0,50.58,Andaman & Nicobar Islands,Andaman & Nicobar Islands
NEERAJ MAURYA,Samajwadi Party,492515.0,1396,491119.0,45.23,Uttar Pradesh,Aonla
GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,477005.0,5535,471470.0,40.96,Andhra Pradesh,Araku (ST)
BAG MITALI,All India Trinamool Congress,712587.0,2155,710432.0,45.71,West Bengal,Arambagh
PRADEEP KUMAR SINGH,Bharatiya Janata Party,600146.0,1028,599118.0,47.91,Bihar,Araria
SUDAMA PRASAD,Communist Party of India (Marxist-Leninist) (Liberation),529382.0,2818,526564.0,48.28,Bihar,Arrah
TAPIR GAO,Bharatiya Janata Party,145581.0,4866,140715.0,45.01,Arunachal Pradesh,Arunachal East
KIREN RIJIJU,Bharatiya Janata Party,205417.0,9002,196415.0,51.38,Arunachal Pradesh,Arunachal West
SHATRUGHAN PRASAD SINHA,All India Trinamool Congress,605645.0,2540,603105.0,46.53,West Bengal,Asansol
ANITA SUBHADARSHINI,Bharatiya Janata Party,494226.0,1194,493032.0,48.55,Odisha,Aska
ADV ADOOR PRAKASH,Indian National Congress,328051.0,4778,323273.0,33.29,Kerala,Attingal
ABHAY KUMAR SINHA,Rashtriya Janata Dal,465567.0,1722,463845.0,49.22,Bihar,Aurangabad
BHUMARE SANDIPANRAO ASARAM,Shiv Sena,476130.0,1696,474434.0,36.56,Maharashtra,Aurangabad
DHARMENDRA YADAV,Samajwadi Party,508239.0,3402,504837.0,48.2,Uttar Pradesh,Azamgarh
BHARTI PARDHI,Bharatiya Janata Party,712660.0,2721,709939.0,51.56,Madhya Pradesh,BALAGHAT
RAJ KUMAR ROAT,Bharat Adivasi Party,820831.0,5401,815430.0,50.15,Rajasthan,BANSWARA
ABDUL RASHID SHEIKH,Independent,472481.0,2907,469574.0,45.7,Jammu and Kashmir,BARAMULLA
UMMEDA RAM BENIWAL,Indian National Congress,704676.0,5554,699122.0,41.74,Rajasthan,BARMER
MAHESH KASHYAP,Bharatiya Janata Party,458398.0,1825,456573.0,45.5,Chhattisgarh,BASTAR
DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,848236.0,1540,846696.0,60.76,Madhya Pradesh,BETUL
SANJNA JATAV,Indian National Congress,579890.0,7082,572808.0,51.18,Rajasthan,BHARATPUR
DAMODAR AGARWAL,Bharatiya Janata Party,807640.0,4447,803193.0,61.92,Rajasthan,BHILWARA
SANDHYA RAY,Bharatiya Janata Party,537065.0,3603,533462.0,51.2,Madhya Pradesh,BHIND
DHARAMBIR SINGH,Bharatiya Janata Party,588664.0,5929,582735.0,49.74,Haryana,BHIWANI-MAHENDRAGARH
ALOK SHARMA,Bharatiya Janata Party,981109.0,2824,978285.0,65.48,Madhya Pradesh,BHOPAL
ARJUN RAM MEGHWAL,Bharatiya Janata Party,566737.0,5497,561240.0,50.68,Rajasthan,BIKANER
TOKHAN SAHU,Bharatiya Janata Party,724937.0,1743,723194.0,53.25,Chhattisgarh,BILASPUR
ADITYA YADAV,Samajwadi Party,501855.0,465,501390.0,45.97,Uttar Pradesh,Badaun
GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,671039.0,3598,667441.0,50.93,Karnataka,Bagalkot
DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,488967.0,3202,485765.0,52.36,Uttar Pradesh,Baghpat
ANAND KUMAR,Bharatiya Janata Party,518802.0,227,518575.0,49.1,Uttar Pradesh,Baharaich
PATHAN YUSUF,All India Trinamool Congress,524516.0,886,523630.0,37.88,West Bengal,Baharampur
PRATAP CHANDRA SARANGI,Bharatiya Janata Party,563865.0,2275,561590.0,45.49,Odisha,Balasore
SANATAN PANDEY,Samajwadi Party,467068.0,2595,464473.0,46.37,Uttar Pradesh,Ballia
SUKANTA MAJUMDAR,Bharatiya Janata Party,574996.0,2071,572925.0,46.47,West Bengal,Balurghat
GENIBEN NAGAJI THAKOR,Indian National Congress,671883.0,4811,667072.0,48.83,Gujarat,Banaskantha
KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,406567.0,549,406018.0,38.94,Uttar Pradesh,Banda
SHOBHA KARANDLAJE,Bharatiya Janata Party,986049.0,3244,982805.0,56.27,Karnataka,Bangalore North
DR C N MANJUNATH,Bharatiya Janata Party,1079002.0,3449,1075553.0,56.21,Karnataka,Bangalore Rural
TEJASVI SURYA,Bharatiya Janata Party,750830.0,3050,747780.0,60.1,Karnataka,Bangalore South
P C MOHAN,Bharatiya Janata Party,658915.0,1679,657236.0,50.05,Karnataka,Bangalore central
SHANTANU THAKUR,Bharatiya Janata Party,719505.0,2553,716952.0,48.19,West Bengal,Bangaon
GIRIDHARI YADAV,Janata Dal (United),506678.0,1004,505674.0,49.96,Bihar,Banka
ARUP CHAKRABORTY,All India Trinamool Congress,641813.0,4348,637465.0,44.33,West Bengal,Bankura
KAMLESH PASWAN,Bharatiya Janata Party,428693.0,1165,427528.0,45.38,Uttar Pradesh,Bansgaon
KRISHNA PRASAD TENNETI,Telugu Desam,717493.0,10736,706757.0,55.16,Andhra Pradesh,Bapatla (SC)
TANUJ PUNIA,Indian National Congress,719927.0,1399,718528.0,55.78,Uttar Pradesh,Barabanki
SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,732312.0,912,731400.0,51.85,Maharashtra,Baramati
KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,692010.0,2497,689513.0,45.15,West Bengal,Barasat
DR. SHARMILA SARKAR,All India Trinamool Congress,720302.0,2421,717881.0,48.11,West Bengal,Bardhaman Purba
AZAD KIRTI JHA,All India Trinamool Congress,720667.0,3598,717069.0,47.99,West Bengal,Bardhaman-Durgapur
PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,763950.0,6163,757787.0,57.04,Gujarat,Bardoli
CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,567127.0,1527,565600.0,50.66,Uttar Pradesh,Bareilly
PRADEEP PUROHIT,Bharatiya Janata Party,716359.0,6753,709606.0,54.69,Odisha,Bargarh
PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,860113.0,6471,853642.0,51.02,Assam,Barpeta
PARTHA BHOWMICK,All India Trinamool Congress,520231.0,1745,518486.0,45.56,West Bengal,Barrackpur
SK NURUL ISLAM,All India Trinamool Congress,803762.0,2220,801542.0,52.76,West Bengal,Basirhat
RAM PRASAD CHAUDHARY,Samajwadi Party,527005.0,3518,523487.0,48.67,Uttar Pradesh,Basti
HARSIMRAT KAUR BADAL,Shiromani Akali Dal,376558.0,1539,375019.0,32.71,Punjab,Bathinda
BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,683950.0,1418,682532.0,44.93,Maharashtra,Beed
GIRIRAJ SINGH,Bharatiya Janata Party,649331.0,2419,646912.0,50.15,Bihar,Begusarai
