S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,BISHNU PADA RAY,Bharatiya Janata Party,102182,254,102436,50.58
2.0,KULDEEP RAI SHARMA,Indian National Congress,77829,211,78040,38.54
3.0,MANOJ PAUL,Andaman Nicobar Democratic Congress,8236,18,8254,4.08
4.0,D AYYAPPAN,Communist Party of India (Marxist),6009,8,6017,2.97
5.0,V.K. ABDUL AZIZ,Independent,2195,8,2203,1.09
6.0,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,911,3,914,0.45
7.0,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,714,5,719,0.36
8.0,RINKU MALA MONDAL,Independent,539,3,542,0.27
9.0,K VENKAT RAM BABU,Independent,506,1,507,0.25
10.0,USHA KUMARI,Independent,378,2,380,0.19
11.0,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),349,2,351,0.17
12.0,ANAND RAMNATH ARLEKAR,Independent,342,-,342,0.17
13.0,NOTA,None of the Above,1802,7,1809,0.89
,Total,,201992,522,202514,
