S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,718641,7874,726515,54.82
2.0,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,483172,4204,487376,36.77
3.0,GIDUGU RUDRARAJU,Indian National Congress,31441,1067,32508,2.45
4.0,GANESWARA RAO PARAMATA,Bahujan Samaj Party,20277,132,20409,1.54
5.0,BATTULA BALARAMAKRISHNA,Navarang Congress Party,16930,78,17008,1.28
6.0,SALOPANTULA RAGHAVENDRA RAO,Independent,3261,17,3278,0.25
7.0,DR. MEDISI RATNARAO ALIAS VINAY,Independent,3109,6,3115,0.24
8.0,MOHANARAO SINGULURI,Jai Bharat National Party,2818,15,2833,0.21
9.0,MEDA SRINIVASA RAO,Rashtriya Praja Congress (Secular),2422,7,2429,0.18
10.0,BOMMANABOINA VSR MURTHY,Independent,2173,6,2179,0.16
11.0,BHANU CHANDAR KURUVELLA,Independent,1955,3,1958,0.15
12.0,JALLI BALA NAVEENA,Independent,1250,4,1254,0.09
13.0,NOTA,None of the Above,24302,133,24435,1.84
,Total,,1311751,13546,1325297,
