S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,APPALANAIDU KALISETTI,Telugu Desam,729284,13829,743113,57.2
2.0,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,487691,6071,493762,38.0
3.0,BOBBILI SRINU,Indian National Congress,10270,353,10623,0.82
4.0,PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,7985,53,8038,0.62
5.0,VELURI VENKATA TRINADHARAO,Independent,4146,6,4152,0.32
6.0,ALLU SRIRAMULU,Independent,3396,5,3401,0.26
7.0,SIYYADULA YELLA RAO,Independent,3105,2,3107,0.24
8.0,SRINIVASA RAO SAMBHANA,Yuga Thulasi Party,1758,3,1761,0.14
9.0,MARISERLA KRISHNAMURTHY NAIDU,Independent,1617,12,1629,0.13
10.0,VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party,1544,9,1553,0.12
11.0,CHINNAM ARUNA KUMAR,Jaibhim Rao Bharat Party,1401,10,1411,0.11
12.0,ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party,1059,11,1070,0.08
13.0,ADINARAYANA TADDI,Independent,855,1,856,0.07
14.0,P V A ANANDA SAGAR,Independent,787,4,791,0.06
15.0,SAKHINETI ANANTHA RAJU,Pyramid Party of India,715,10,725,0.06
16.0,NOTA,None of the Above,23097,153,23250,1.79
,Total,,1278710,20532,1299242,
