S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,853642,6471,860113,51.02
2.0,DEEP BAYAN,Indian National Congress,635411,2351,637762,37.83
3.0,MANORANJAN TALUKDAR,Communist Party of India (Marxist),95020,1118,96138,5.7
4.0,ABUL KALAM AZAD,All India Trinamool Congress,16359,73,16432,0.97
5.0,DEWAN MOHIBUL ISLAM,Independent,9930,11,9941,0.59
6.0,SAMEJ UDDIN,Bodoland Peoples Front,9515,177,9692,0.57
7.0,DULU AHMED,Independent,9275,63,9338,0.55
8.0,MATIAR RAHMAN,Independent,7920,15,7935,0.47
9.0,JAGANNATH RAY,Independent,5474,74,5548,0.33
10.0,SHAJAHAN ALI KHAN,Voters Party International,4441,7,4448,0.26
11.0,AYNAL HAQUE,Independent,3174,18,3192,0.19
12.0,CHITRALEKHA DAS,Socialist Unity Centre Of India (COMMUNIST),3060,71,3131,0.19
13.0,AMZAD ALI,Republican Party of India (Athawale),2657,22,2679,0.16
14.0,ABUBAKKAR SIDDIQUE,Rashtriya Ulama Council,2463,14,2477,0.15
15.0,NOTA,None of the Above,16888,229,17117,1.02
,Total,,1675229,10714,1685943,
