S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,BIJULI KALITA MEDHI,Bharatiya Janata Party,891901,2986,894887,55.95
2.0,MIRA BORTHAKUR GOSWAMI,Indian National Congress,642353,1444,643797,40.25
3.0,DIPAK KR BORO,Voters Party International,8494,54,8548,0.53
4.0,COLONEL GOKUL CHANDRA SINGHA,Independent,7644,34,7678,0.48
5.0,AMITABH SARMA,Ekam Sanatan Bharat Dal,7508,19,7527,0.47
6.0,KAZI NEKIB AHMED,Independent,6753,8,6761,0.42
7.0,SAMAD CHOUDHURY,Bharatiya Gana Parishad,5081,14,5095,0.32
8.0,SHEJON GOYARY,Bahujan Maha Party,4826,21,4847,0.3
9.0,NOTA,None of the Above,20139,110,20249,1.27
,Total,,1594699,4690,1599389,
