S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,JOYANTA BASUMATARY,"United People’s Party, Liberal",484681,4314,488995,39.39
2.0,KAMPA BORGOYARI,Bodoland Peoples Front,432768,4644,437412,35.23
3.0,GARJAN MASHAHARY,Indian National Congress,112624,1112,113736,9.16
4.0,BINITA DEKA,Gana Suraksha Party,93266,923,94189,7.59
5.0,PRITHVIRAJ NARAYAN DEV MECH,Independent,33636,101,33737,2.72
6.0,GAURI SANKAR SARANIA,All India Trinamool Congress,23362,157,23519,1.89
7.0,RANJAY KR BRAHMA,Independent,8782,48,8830,0.71
8.0,LALIT PEGU,Voters Party International,7891,41,7932,0.64
9.0,JYOTISH KUMAR DAS,Independent,5944,162,6106,0.49
10.0,PANKAJ ISLARY,Independent,4473,35,4508,0.36
11.0,TRIPTINA RABHA,Independent,4425,115,4540,0.37
12.0,AJOY NARZARY,Independent,4032,48,4080,0.33
13.0,NOTA,None of the Above,13662,250,13912,1.12
,Total,,1229546,11950,1241496,
