S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,647572,4833,652405,59.89
2.0,SURYA KANTA SARKAR,Indian National Congress,386453,1641,388094,35.62
3.0,RADHESHYAM BISWAS,All India Trinamool Congress,20384,109,20493,1.88
4.0,RAJU DAS,Independent,4580,17,4597,0.42
5.0,PROBASH CHANDRA SARKAR,Socialist Unity Centre Of India (COMMUNIST),4494,40,4534,0.42
6.0,ANANTA MOHAN ROY,Independent,3113,30,3143,0.29
7.0,RAJIB DAS,Bahujan Maha Party,1843,24,1867,0.17
8.0,BARINDRA KUMAR DAS,Bangali Nabanirman Sena,1575,18,1593,0.15
9.0,NOTA,None of the Above,12598,102,12700,1.17
,Total,,1082612,6814,1089426,
