S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,DR.SANJAY JAISWAL,Bharatiya Janata Party,578959,1462,580421,53.43
2.0,MADAN MOHAN TIWARI,Indian National Congress,441363,2490,443853,40.86
3.0,SANJAY KUMAR,Viro Ke Vir Indian Party,13139,6,13145,1.21
4.0,UPENDRA RAM,Bahujan Samaj Party,10913,49,10962,1.01
5.0,MOHAMMAD SOAIB,Independent,8992,2,8994,0.83
6.0,RAUSHAN KUMAR SRIVASTAVA,Independent,8496,9,8505,0.78
7.0,MD. KALAM SAI,Independent,4922,3,4925,0.45
8.0,NAFISH AHMAD,Independent,4163,-,4163,0.38
9.0,NOTA,None of the Above,11223,65,11288,1.04
,Total,,1082170,4086,1086256,
