S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,DEVESH CHANDRA THAKUR,Janata Dal (United),514940,779,515719,47.14
2.0,ARJUN RAY,Rashtriya Janata Dal,463107,1256,464363,42.45
3.0,SAIQUA NAWAZ AZMAT,Independent,28911,1,28912,2.64
4.0,SHYAM NANDAN KISHOR PRASAD,Independent,11173,15,11188,1.02
5.0,BHOLA SINGH,Bahujan Samaj Party,8773,37,8810,0.81
6.0,UPENDRA SAHANI,Rashtriya Jansambhavna Party,8446,8,8454,0.77
7.0,CHANDRIKA PRASAD,Independent,7109,5,7114,0.65
8.0,VINOD SAH,Independent,4477,4,4481,0.41
9.0,KRISHNA KISHORE,Independent,3280,-,3280,0.3
10.0,MUSHAHID RAZA,Desh Janhit Party,2190,2,2192,0.2
11.0,UMESH KUMAR YADAV,Independent,2126,2,2128,0.19
12.0,RAJENDRA MAHTO,Karpoori Janta Dal,1976,5,1981,0.18
13.0,ANAND KUMAR,Independent,1787,9,1796,0.16
14.0,ABDUL SAMAD,Independent,1439,2,1441,0.13
15.0,NOTA,None of the Above,32102,31,32133,2.94
,Total,,1091836,2156,1093992,
