S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,701291,2368,703659,53.06
2.0,TAMRADHWAJ SAHU,Indian National Congress,556764,1439,558203,42.09
3.0,PROFESSOR SURESH SAHU,Independent,11885,3,11888,0.9
4.0,BASANT SINHA,Bahujan Samaj Party,8823,37,8860,0.67
5.0,REKHRAM BAGH,Independent,7877,1,7878,0.59
6.0,GANESH RAM DHRUW,Hamar Raj Party,6626,25,6651,0.5
7.0,SANTOSH DARCHAND BANJARE,Independent,6049,5,6054,0.46
8.0,MUKESH KUMAR AGRAWAL,Independent,3689,2,3691,0.28
9.0,SUKHNANDAN DESHKAR,Independent,3554,1,3555,0.27
10.0,NITESH KUMAR RATRE,Sunder Samaj Party,2366,7,2373,0.18
11.0,DR. VIRENDRA CHAUDHRI,Bhartiya Shakti Chetna Party,2093,6,2099,0.16
12.0,KALIYA PRASAD SETH,Independent,1528,3,1531,0.12
13.0,MAHESH SWARN,Independent,1484,2,1486,0.11
14.0,CHAMPA LAL PATEL GURUJI DHARTI PAKD,Right to Recall Party,1376,3,1379,0.1
15.0,FARID QURAISHI,Gondvana Gantantra Party,1074,3,1077,0.08
16.0,ISHWAR MARKANDE,Independent,957,-,957,0.07
17.0,NARAD PRASAD NISHAD,Shakti Sena (Bharat Desh),897,2,899,0.07
18.0,NOTA,None of the Above,3801,39,3840,0.29
,Total,,1322134,3946,1326080,
