S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,DHARAMBIR SINGH,Bharatiya Janata Party,582735,5929,588664,49.74
2.0,RAO DAN SINGH,Indian National Congress,541926,5228,547154,46.24
3.0,BAHADUR SINGH,Jannayak Janta Party,15076,189,15265,1.29
4.0,SUNIL KUMAR SHARMA,Bahujan Samaj Party,6239,97,6336,0.54
5.0,SUBHASH,Rashtrawadi Janlok Party (Satya),4663,32,4695,0.4
6.0,HEMANT,Independent,3876,5,3881,0.33
7.0,SEEMA,Independent,2961,18,2979,0.25
8.0,VED PRAKASH,Independent,1897,3,1900,0.16
9.0,ANAND KUMAR,Bharatheeya Jawan Kisan Party,1642,26,1668,0.14
10.0,YOGBIR SINGH,Independent,1473,5,1478,0.12
11.0,VARSHA,Independent,993,60,1053,0.09
12.0,BALWAN,Peoples Party of India (Democratic),854,3,857,0.07
13.0,ROHTASH,Socialist Unity Centre Of India (COMMUNIST),637,3,640,0.05
14.0,JAI SINGH,Independent,442,9,451,0.04
15.0,BHARAT BHUSHAN,Bhartiya Shakti Chetna Party,440,3,443,0.04
16.0,ENGINEER MAHAVIR SINGH YADAV,Independent,406,9,415,0.04
17.0,JAGDISH,Independent,219,10,229,0.02
18.0,NOTA,None of the Above,5188,99,5287,0.45
,Total,,1171667,11728,1183395,
