S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,348289,1578,349867,31.53
2.0,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),319415,973,320388,28.88
3.0,RAVIKANT CHANDRADAS TUPKAR,Independent,249042,921,249963,22.53
4.0,VASANTRAO RAJARAM MAGAR,Vanchit Bahujan Aaghadi,98093,348,98441,8.87
5.0,ASHOK WAMAN HIWALE,Independent,15414,22,15436,1.39
6.0,SANDEEP RAMRAO SHELKE,Independent,12993,57,13050,1.18
7.0,GAUTAM KISANRAO MAGHADE,Bahujan Samaj Party,8125,93,8218,0.74
8.0,ASLAM SHAH HASAN SHAH,Maharashtra Vikas Aghadi,6117,36,6153,0.55
9.0,NANDU JAGANNATH LAWANGE,Independent,5696,17,5713,0.51
10.0,MACHHINDRA SHESHRAV MAGHADE,Socialist Party (India),5247,11,5258,0.47
11.0,MOHAMMAD HASAN INAMDAR,Minorities Democratic Party,4966,12,4978,0.45
12.0,GAJANAN JANARDAN DHANDE,Independent,4841,13,4854,0.44
13.0,DINKAR TUKARAM SAMBARE,Independent,4550,14,4564,0.41
14.0,BALASAHEB RAMCHANDRA INGLE,Independent,3911,20,3931,0.35
15.0,PRATAP PANDHARINATH PATIL,Independent,2547,14,2561,0.23
16.0,SANTOSH BHIMRAO INGLE,Republican Party of India (A),2524,6,2530,0.23
17.0,MADHAVRAO SAKHARAM BANSODE,Bahujan Republican Socialist Party,2441,14,2455,0.22
18.0,VIKAS BHAI NANDAVE,Bhim Sena,2322,9,2331,0.21
19.0,UDDHAV ONKAR ATOLE,Independent,1946,22,1968,0.18
20.0,REKHA KAILAS POPHALKAR,Independent,1533,7,1540,0.14
21.0,PROF SUMANTAI TIRPUDE,Peoples Party of India (Democratic),1505,6,1511,0.14
22.0,NOTA,None of the Above,3750,36,3786,0.34
,Total,,1105267,4229,1109496,
