S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,530761,2345,533106,48.68
2.0,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,449599,1859,451458,41.23
3.0,DR. MOHAN RAMRAOJI RAIKWAR,Bahujan Samaj Party,20653,142,20795,1.9
4.0,PROF. RAJENDRA GULABRAO SALUNKHE,Vanchit Bahujan Aaghadi,15408,84,15492,1.41
5.0,ASIF,Independent,15176,6,15182,1.39
6.0,KISHOR BABA PAVAR,Independent,12917,3,12920,1.18
7.0,SUHAS V. THAKARE,Independent,7639,9,7648,0.7
8.0,AKSHAY MEHARE BHARTIYA,Akhil Bhartiya Parivar Party,5446,21,5467,0.5
9.0,MAROTI GULABRAO UIKE,Gondvana Gantantra Party,4651,21,4672,0.43
10.0,ADV. BHASKAR MAROTRAO NEWARE,Independent,4021,11,4032,0.37
11.0,JAGADISH UDDVRAO WANKHADE,Independent,2338,11,2349,0.21
12.0,POOJA PANKAJ TADAS,Independent,2121,14,2135,0.19
13.0,ANIL K. GHUSHE,Independent,1967,4,1971,0.18
14.0,ASHISH LEKHIRAM IZANKAR,Vidarbha Rajya Aghadi,1819,9,1828,0.17
15.0,VIJAY DNYANESHWARRAO SHRIRAO,Independent,1723,15,1738,0.16
16.0,ARVIND SHAMRAO LILLORE,Independent,1475,1,1476,0.13
17.0,RAMRAO BAJIRAO GHODASKAR,All India Forward Bloc,1418,20,1438,0.13
18.0,KRUSHNA SUBHASHRAO FULKARI,Lok Swarajya Party,1342,1,1343,0.12
19.0,UMESH SOMAJI WAWARE,Maharashtra Vikas Aghadi,1231,15,1246,0.11
20.0,KRUSHNA ANNAJI KALODE,Hindrashtra Sangh,1052,9,1061,0.1
21.0,RAMESH SINHA,Independent,799,-,799,0.07
22.0,DR. MORESHWAR RAMJI NAGRALE,Republican Party of India,792,5,797,0.07
23.0,DIXITA ANAND,Desh Janhit Party,731,5,736,0.07
24.0,RAHUL T. BHOYAR,Independent,685,4,689,0.06
25.0,NOTA,None of the Above,4583,51,4634,0.42
,Total,,1090347,4665,1095012,
