S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,691184,1648,692832,53.46
2.0,SAHI RAM,Aam Aadmi Party,567716,783,568499,43.87
3.0,ABDUL BASIT,Bahujan Samaj Party,9829,32,9861,0.76
4.0,RAM GOPAL,Haryana Jansena Party,3956,2,3958,0.31
5.0,CHANDRASHEKHAR SINGH KUSHWAHA,Independent,1888,1,1889,0.15
6.0,DEEPAK KAPILA,Independent,1500,-,1500,0.12
7.0,OMAPRAKASH,Samaj Vikas Kranti Party,1364,1,1365,0.11
8.0,JAGDISH KUMAR VERMA,Independent,1295,1,1296,0.1
9.0,LAKHAN SINGH,Navarang Congress Party,967,3,970,0.07
10.0,POONAM SRIVASTAVA,Independent,951,7,958,0.07
11.0,ARUN KUMAR,Independent,842,-,842,0.06
12.0,RINKI SANYAL,Bharatiya Sampuran Krantikari Party,762,1,763,0.06
13.0,KAMLESH KUMAR JHA,Independent,714,-,714,0.06
14.0,SURJEET SINGH,Delhi Janta Party,637,1,638,0.05
15.0,BHIM SINGH,Ambedkarite Party of India,601,1,602,0.05
16.0,SURINDER KUMAR,Bharatheeya Jawan Kisan Party,592,-,592,0.05
17.0,GAUTAM ANAND,All India Forward Bloc,539,1,540,0.04
18.0,SHANKAR DEY,Independent,522,-,522,0.04
19.0,BIHARI LAL JALANDHARI,India Greens Party,511,3,514,0.04
20.0,NAVEEN KUMAR,Hamara Sahi Vikalp Party,475,1,476,0.04
21.0,VIRENDER,Independent,381,-,381,0.03
22.0,RAJAN SINGH,Independent,323,2,325,0.03
23.0,NOTA,None of the Above,5927,34,5961,0.46
,Total,,1293476,2522,1295998,
