S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,561590,2275,563865,45.49
2.0,LEKHASRI SAMANTSINGHAR,Biju Janata Dal,415917,792,416709,33.62
3.0,SHRIKANTA JENA,Indian National Congress,236081,926,237007,19.12
4.0,RAJAT KUMAR BEHERA,Bahujan Samaj Party,2913,7,2920,0.24
5.0,GOBINDA CHANDRA BHOI,National Apni Party,2640,-,2640,0.21
6.0,SURYAKANTA DASMOHAPATRA,Independent,2156,5,2161,0.17
7.0,MAHAMEGHABAHAN AIRA KHARABELA SWAIN,Independent,1863,5,1868,0.15
8.0,PRAMOD KUMAR PATTAYAT,Independent,1637,2,1639,0.13
9.0,BIREN PUHAN,Krupaa Party,1450,2,1452,0.12
10.0,DEEPAK SANKAR THAKUR GIRI,Independent,1191,3,1194,0.1
11.0,AKHIL KUMAR MOHANTA,Independent,829,1,830,0.07
12.0,NOTA,None of the Above,7333,17,7350,0.59
,Total,,1235600,4035,1239635,
