S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,JUAL ORAM,Bharatiya Janata Party,490655,3627,494282,42.77
2.0,DILIP KUMAR TIRKEY,Biju Janata Dal,353708,1766,355474,30.76
3.0,JANARDAN DEHURY,Indian National Congress,260681,1305,261986,22.67
4.0,JUSTIN LUGUN,Socialist Unity Centre Of India (COMMUNIST),9120,21,9141,0.79
5.0,JAGABANDHU ORAM,Independent,6023,4,6027,0.52
6.0,SUMANTA KUMAR SORENG,National Apni Party,4035,17,4052,0.35
7.0,SANTOSH JURA,Naba Bharata Nirmana Seva Party,3976,5,3981,0.34
8.0,PARUA EKKA,Jharkhand Party,3018,15,3033,0.26
9.0,NOTA,None of the Above,17752,49,17801,1.54
,Total,,1148968,6809,1155777,
