S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,AMRITPAL SINGH,Independent,402600,1830,404430,38.62
2.0,KULBIR SINGH ZIRA,Indian National Congress,206286,1024,207310,19.8
3.0,LALJIT SINGH BHULLAR,Aam Aadmi Party,194160,676,194836,18.61
4.0,VIRSA SINGH VALTOHA,Shiromani Akali Dal,86291,125,86416,8.25
5.0,MANJIT SINGH MANNA,Bharatiya Janata Party,85810,563,86373,8.25
6.0,PARAMJIT SINGH,Independent,12522,3,12525,1.2
7.0,CHAIN SINGH BAINKA,Aas Punjab Party,6728,11,6739,0.64
8.0,SATNAM SINGH,Bahujan Samaj Party,5021,45,5066,0.48
9.0,SARABJIT SINGH,Independent,4835,1,4836,0.46
10.0,GURDIAL SINGH,Communist Party of India,3945,7,3952,0.38
11.0,ANOKH SINGH KATWAL,Independent,2766,3,2769,0.26
12.0,GURPREET SINGH,Independent,2609,-,2609,0.25
13.0,AJIT SINGH,Independent,2528,7,2535,0.24
14.0,ARUN KUMAR,Independent,2522,3,2525,0.24
15.0,SURJIT SINGH BHIKHIWIND,Independent,2367,4,2371,0.23
16.0,KAWALJIT SINGH,Independent,2290,4,2294,0.22
17.0,HARJINDER SINGH,Independent,1969,1,1970,0.19
18.0,KANWALJIT SINGH,Independent,1895,6,1901,0.18
19.0,PARMINDER SINGH,Independent,1802,1,1803,0.17
20.0,JASWANT SINGH SOHAL,Independent,1637,2,1639,0.16
21.0,LAKHBIR SINGH,Independent,1420,1,1421,0.14
22.0,VIKRAMJIT SINGH,Independent,1417,3,1420,0.14
23.0,VIJAY KUMAR,Independent,1388,-,1388,0.13
24.0,DILBAGH SINGH,All India Mazdoor Party (Rangreta),1363,11,1374,0.13
25.0,SIMRANJEET SINGH,Independent,1338,3,1341,0.13
26.0,MAHINDER SINGH HAMIRA,Independent,1044,2,1046,0.1
27.0,NAVEEN KUMAR SHARMA,Sanjhi Virasat Party,823,1,824,0.08
28.0,NOTA,None of the Above,3420,32,3452,0.33
,Total,,1042796,4369,1047165,
