S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,AMRINDER SINGH RAJA WARRING,Indian National Congress,321424,800,322224,30.42
2.0,RAVNEET SINGH BITTU,Bharatiya Janata Party,300927,355,301282,28.45
3.0,ASHOK PRASHAR PAPPI,Aam Aadmi Party,236620,457,237077,22.38
4.0,RANJIT SINGH DHILLON,Shiromani Akali Dal,90073,147,90220,8.52
5.0,KAMALJIT SINGH BRAR,Independent,42462,38,42500,4.01
6.0,AMRITPAL SINGH CHHANDRAN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),18199,42,18241,1.72
7.0,DAVINDER SINGH RAMGARHIA,Bahujan Samaj Party,10365,29,10394,0.98
8.0,NARESH DHINGAAN,Independent,2524,6,2530,0.24
9.0,RAKESH KUMAR (RICKY),Sunahara Bharat Party,2091,-,2091,0.2
10.0,ER. BALDEV RAJ KATNA (DEBI),Independent,2086,-,2086,0.2
11.0,PRITPAL SINGH,Bahujan Dravida Party,1821,3,1824,0.17
12.0,DR. PALWINDER KAUR,Independent,1766,2,1768,0.17
13.0,SANJEEV KUMAR (SANJU),Independent,1567,-,1567,0.15
14.0,RAJIV KUMAR MEHRA,Jan Sewa Driver Party,1516,2,1518,0.14
15.0,BHUPINDER SINGH,Bharatheeya Jawan Kisan Party,1287,-,1287,0.12
16.0,BALJIT SINGH,Independent,1137,1,1138,0.11
17.0,VIPAN KUMAR BATRA,Independent,1041,-,1041,0.1
18.0,AMANDEEP SINGH,Sehajdhari Sikh Party,981,6,987,0.09
19.0,PARAMJIT SINGH,Independent,927,-,927,0.09
20.0,BALVINDER SINGH BITTA,Independent,918,-,918,0.09
21.0,SIMRANDEEP SINGH,Independent,911,1,912,0.09
22.0,DEVINDER BHAGRIA,Hindustan Shakti Sena,859,1,860,0.08
23.0,KANIYA LAL (DR. KISHAN KUMAR),Independent,820,-,820,0.08
24.0,SUDHIR KUMAR TRIPATHI,Independent,770,-,770,0.07
25.0,GURDEEP SINGH KAHLON,Independent,738,-,738,0.07
26.0,DR. DEVINDER SINGH GILL,Aam Lok Party United,693,2,695,0.07
27.0,KIRPAL SINGH KAPURI,Independent,621,-,621,0.06
28.0,SANTOSH KUMAR,Bharatiya Inqalab Party,610,-,610,0.06
29.0,KAMAL PAWAR,Independent,592,-,592,0.06
30.0,RAVINDER PAL SINGH BABA JI BARGAR WALE,Independent,546,2,548,0.05
31.0,GURMEET SINGH KHARAY,Independent,516,1,517,0.05
32.0,RUPINDER KUMAR,Independent,467,-,467,0.04
33.0,CHANDI,Independent,456,-,456,0.04
34.0,BALDEV SINGH SUMAN,Independent,450,-,450,0.04
35.0,JAI - PARKASH JAIN (TITU BANIYA),Independent,419,-,419,0.04
36.0,SHIVAM YADAV,Global Republican Party,414,1,415,0.04
37.0,HARVINDER KAUR,Samajik Sangharsh Party,413,6,419,0.04
38.0,BHOLA SINGH,Independent,411,-,411,0.04
39.0,DARSHAN SINGH DABA,Nationalist Justice Party,390,-,390,0.04
40.0,KULDEEP KUMAR SHARMA,Independent,383,-,383,0.04
41.0,VISHAL KUMAR ARORA,Independent,344,-,344,0.03
42.0,KARNAIL SINGH,Independent,340,-,340,0.03
43.0,RAJINDER GHAI,Independent,284,-,284,0.03
44.0,NOTA,None of the Above,5040,36,5076,0.48
,Total,,1057219,1938,1059157,
