S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,ARJUN RAM MEGHWAL,Bharatiya Janata Party,561240,5497,566737,50.68
2.0,GOVINDRAM MEGHWAL,Indian National Congress,506966,4060,511026,45.7
3.0,KHETA RAM,Bahujan Samaj Party,8249,50,8299,0.74
4.0,ATMA RAM GUJARATI,Independent,6267,14,6281,0.56
5.0,RATANI DEVI,Independent,3894,32,3926,0.35
6.0,SATYANARAYAN DEVRA,Independent,2958,8,2966,0.27
7.0,PUKHRAJ NAYAK,Independent,2621,54,2675,0.24
8.0,BABU LAL,Independent,2010,9,2019,0.18
9.0,GOPI CHAND MEGHWAL,Independent,1787,8,1795,0.16
10.0,NOTA,None of the Above,12431,127,12558,1.12
,Total,,1108423,9859,1118282,
