S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,K E PRAKASH,Dravida Munnetra Kazhagam,558849,3490,562339,51.43
2.0,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,323751,2022,325773,29.79
3.0,KARMEGAN M,Naam Tamilar Katchi,82332,464,82796,7.57
4.0,P VIJAYAKUMAR,Tamil Maanila Congress (Moopanar),77319,592,77911,7.13
5.0,P ESWARAN,Bahujan Samaj Party,5161,62,5223,0.48
6.0,T V R AMIRTHALINGAM,Independent,4118,31,4149,0.38
7.0,KEERTHANA M,Independent,3775,24,3799,0.35
8.0,J GOPALAKRISHNAN,Independent,1949,6,1955,0.18
9.0,S ANANTHI,Independent,1683,3,1686,0.15
10.0,PRASATH CHITRARASU,Independent,1629,11,1640,0.15
11.0,RAVICHANDRAN L,Independent,1378,2,1380,0.13
12.0,P RAJENDRAN,Independent,973,3,976,0.09
13.0,P KUPPUSAMY,Ulzaipali Makkal Katchy,945,5,950,0.09
14.0,M SHANMUGAM,Independent,768,4,772,0.07
15.0,R KUMARESAN,Independent,744,7,751,0.07
16.0,N ASHOK KUMAR,Independent,689,1,690,0.06
17.0,DHANALAKSHMI V,Naadaalum Makkal Katchi,675,4,679,0.06
18.0,A T MUNUSAMY,Samaniya Makkal Nala Katchi,611,5,616,0.06
19.0,K MAATHAN,Ganasangam Party of India,609,9,618,0.06
20.0,B DHARMARAJ,Anti Corruption Dynamic Party,597,4,601,0.05
21.0,ARUMUGA AC KANNAN,Independent,547,2,549,0.05
22.0,M SABARINATHAN,Independent,525,6,531,0.05
23.0,R DHANDAPANI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,502,2,504,0.05
24.0,R KUMAR,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,424,8,432,0.04
25.0,R.MINNALMURUGESH,Independent,413,2,415,0.04
26.0,K K VADUGANATHAN,Independent,398,1,399,0.04
27.0,G MYLSAMY,Independent,301,-,301,0.03
28.0,MYLVAKANAN D -,Independent,276,3,279,0.03
29.0,M PRABAKARAN,Independent,274,2,276,0.03
30.0,NARENDRANATH,Independent,272,-,272,0.02
31.0,K SENTHIL KUMAR,Independent,177,1,178,0.02
32.0,NOTA,None of the Above,13742,241,13983,1.28
,Total,,1086406,7017,1093423,
