S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,MATHESWARAN V S,Dravida Munnetra Kazhagam,457695,4341,462036,40.31
2.0,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,429358,3566,432924,37.77
3.0,DR RAMALINGAM K P,Bharatiya Janata Party,103577,1113,104690,9.13
4.0,KANIMOZHI G,Naam Tamilar Katchi,94895,682,95577,8.34
5.0,DEEPAN CHAKKRAVARTHI S,Independent,3546,33,3579,0.31
6.0,RAJENDRAN C,Viduthalai Kalam Katchi,2592,7,2599,0.23
7.0,NATARAJAN M,Independent,2565,23,2588,0.23
8.0,RAMESH T,Ahimsa Socialist Party,2412,9,2421,0.21
9.0,EZHIL SELVAN P,Tamilaga Makkal Thannurimai Katchi,2149,16,2165,0.19
10.0,RAMAN V,Bahujan Samaj Party,2137,20,2157,0.19
11.0,UTHAYAKUMAR P,Independent,1899,2,1901,0.17
12.0,KANDASAMY A M,Independent,1510,4,1514,0.13
13.0,RAMASAMY P,Independent,1338,12,1350,0.12
14.0,KARTHI S,Independent,1332,2,1334,0.12
15.0,RAMESH T R,Independent,1317,8,1325,0.12
16.0,SATHEESH G,Independent,1284,8,1292,0.11
17.0,RAMASAMY N,Independent,1243,7,1250,0.11
18.0,MADHESWARAN V,Independent,1144,3,1147,0.1
19.0,DR GURUNATHAN S,Independent,1048,23,1071,0.09
20.0,KARTHIKEYAN S,Independent,918,2,920,0.08
21.0,NALLATHAMBI P,Independent,769,1,770,0.07
22.0,EASWARAMOORTHY M,Independent,758,10,768,0.07
23.0,BALAJICHEZHIAN P,Independent,716,3,719,0.06
24.0,RAVIKUMAR P,Ganasangam Party of India,633,4,637,0.06
25.0,NAVEEN K,Independent,633,2,635,0.06
26.0,DURAIRAJ C,Independent,590,2,592,0.05
27.0,ARULMANI M,Independent,564,4,568,0.05
28.0,THIYAGARAJAN R,Samaniya Makkal Nala Katchi,527,1,528,0.05
29.0,VENNILA S,Independent,520,8,528,0.05
30.0,KALIANNAN S,Independent,496,1,497,0.04
31.0,KANDASAMY P,Independent,475,5,480,0.04
32.0,MANIKKAM S,Ulzaipali Makkal Katchy,439,3,442,0.04
33.0,MOORTHI J,Independent,385,4,389,0.03
34.0,TAMILMANI A,Independent,352,2,354,0.03
35.0,SELVARAJ K R,Independent,301,2,303,0.03
36.0,SAKTHIVEL S,Independent,298,1,299,0.03
37.0,NETAJIKAVIARASU V,Independent,287,1,288,0.03
38.0,SIVAKUMAR V,Independent,244,2,246,0.02
39.0,MOORTHY V,Independent,220,2,222,0.02
40.0,GOPAL P,Independent,214,-,214,0.02
41.0,NOTA,None of the Above,12736,248,12984,1.13
,Total,,1136116,10187,1146303,
