S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,ARUN NEHRU,Dravida Munnetra Kazhagam,598003,5206,603209,53.42
2.0,CHANDRAMOHAN N D,All India Anna Dravida Munnetra Kazhagam,212495,1607,214102,18.96
3.0,PAARIVENDHAR T R,Bharatiya Janata Party,160606,1260,161866,14.33
4.0,THENMOZHI R,Naam Tamilar Katchi,112200,892,113092,10.02
5.0,MANI S,Independent,3950,1,3951,0.35
6.0,MADHU R,Independent,3498,10,3508,0.31
7.0,RENGARAJ S,Independent,3251,22,3273,0.29
8.0,ELANGOVAN R,Bahujan Samaj Party,3033,26,3059,0.27
9.0,VASUDEVAN A,Independent,1355,7,1362,0.12
10.0,ARUN NEHRU,Independent,1280,19,1299,0.12
11.0,LAKSHMANAN,Independent,1087,-,1087,0.1
12.0,PARY T,Independent,1077,4,1081,0.1
13.0,ANANDARAJU R,Independent,1009,6,1015,0.09
14.0,JAYAKUMAR K,Samaniya Makkal Nala Katchi,1003,3,1006,0.09
15.0,TAMILSELVAN M,Independent,872,6,878,0.08
16.0,THANGAMANI K,Independent,868,5,873,0.08
17.0,P K AMMAN G SIVAKUMAR,Independent,740,15,755,0.07
18.0,EBINESAN M,Independent,731,17,748,0.07
19.0,MURUGANANTHAM T,Independent,730,3,733,0.06
20.0,SUDHAKAR S,Independent,550,5,555,0.05
21.0,SAMBATH D,Independent,530,2,532,0.05
22.0,MUTHUKUMAR,Independent,467,2,469,0.04
23.0,VEERAMALAI K,Independent,449,2,451,0.04
24.0,NOTA,None of the Above,10075,247,10322,0.91
,Total,,1119859,9367,1129226,
