S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,ESWARASAMY K,Dravida Munnetra Kazhagam,530742,2635,533377,47.37
2.0,KARTHIKEYAN A,All India Anna Dravida Munnetra Kazhagam,280230,1105,281335,24.98
3.0,VASANTHARAJAN K,Bharatiya Janata Party,221945,1409,223354,19.84
4.0,SURESHKUMAR N,Naam Tamilar Katchi,57962,234,58196,5.17
5.0,PRAKASH P,Independent,2834,17,2851,0.25
6.0,BENJAMINKIRUBAKARAN J,Bahujan Samaj Party,2267,17,2284,0.2
7.0,VASANTHAKUMAR T,Independent,2186,4,2190,0.19
8.0,RAMASAMY K,Independent,1816,9,1825,0.16
9.0,ESWARASAMY K,Independent,1775,15,1790,0.16
10.0,GOPALAKRISHNAN M,New Generation People’s Party,1127,6,1133,0.1
11.0,KALIMUTHU S,Independent,976,5,981,0.09
12.0,KARTHIKEYAN D,Independent,600,19,619,0.05
13.0,NOOR MUHAMAD A,Independent,599,6,605,0.05
14.0,KARTHIKEYAN P,Independent,548,19,567,0.05
15.0,KARTHIKEYAN D,Independent,433,2,435,0.04
16.0,NOTA,None of the Above,14399,104,14503,1.29
,Total,,1120439,5606,1126045,
