S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,MURASOLI S,Dravida Munnetra Kazhagam,498822,3423,502245,48.82
2.0,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,182172,490,182662,17.76
3.0,MURUGANANTHAM M,Bharatiya Janata Party,169587,1026,170613,16.59
4.0,HUMAYUN KABIR,Naam Tamilar Katchi,119683,610,120293,11.69
5.0,RENGASAMY C,Independent,18130,61,18191,1.77
6.0,SARAVANAN M,Independent,6730,65,6795,0.66
7.0,SENTHIL KUMAR N,Independent,4133,25,4158,0.4
8.0,EZHILARASAN S,Independent,3834,17,3851,0.37
9.0,JAYABAL A,Bahujan Samaj Party,2400,10,2410,0.23
10.0,SANTHOSH M,Independent,1982,10,1992,0.19
11.0,ER ARJUN S,Independent,1440,6,1446,0.14
12.0,KARIKALA CHOLAN S,Independent,1209,8,1217,0.12
13.0,NOTA,None of the Above,12674,159,12833,1.25
,Total,,1022796,5910,1028706,
