S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,537879,2850,540729,55.26
2.0,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,147407,584,147991,15.12
3.0,VIJAYASEELAN SDR,Tamil Maanila Congress (Moopanar),121680,700,122380,12.51
4.0,ROWENA RUTH JANE J,Naam Tamilar Katchi,119374,926,120300,12.29
5.0,RAJHA N P,Naam Indiar Party,6622,18,6640,0.68
6.0,ARUNADEVI R,Independent,6029,43,6072,0.62
7.0,CHITHIRAI JEGAN S,Independent,3637,3,3640,0.37
8.0,SIVANESWARAN J,Independent,3363,13,3376,0.35
9.0,SAMUEL T,Independent,2240,5,2245,0.23
10.0,MANIKKARAJ A,Bahujan Samaj Party,2158,37,2195,0.22
11.0,AASIRIYAR SHANMUGA SUNDARAM K,Independent,1832,7,1839,0.19
12.0,KALEERMURUGAPAVENTHAN R,Makkal Nalvaazhvuk Katchi,1736,56,1792,0.18
13.0,PONKUMARAN T P S,Independent,894,3,897,0.09
14.0,JEYAKUMAR C,Independent,825,4,829,0.08
15.0,GANDHIMALLAR S M,Independent,791,14,805,0.08
16.0,BISHOP DR GODFREY NOBLE,Aanaithinthiya Jananayaka Pathukappu Kazhagam,757,12,769,0.08
17.0,PERUMALKUMAR P,Puthiya Makkal Tamil Desam Katchi,727,12,739,0.08
18.0,ESAKKIMUTHU V,Independent,699,11,710,0.07
19.0,KANNAN G,Independent,679,10,689,0.07
20.0,DAVID JEBASEELAN J,Independent,656,7,663,0.07
21.0,SUDALAIMUTHU P,Independent,576,2,578,0.06
22.0,KRISHNAN S,Independent,479,1,480,0.05
23.0,RADHAKRISHNAN V G,Independent,456,5,461,0.05
24.0,JAMES P,Independent,433,11,444,0.05
25.0,PONRAJ K,Independent,428,1,429,0.04
26.0,PRASANNA KUMAR M,Independent,396,-,396,0.04
27.0,SELVAMUTHUKUMAR M,Independent,341,-,341,0.03
28.0,SENTHIL KUMAR S,Independent,290,1,291,0.03
29.0,NOTA,None of the Above,9682,124,9806,1.0
,Total,,973066,5460,978526,
