S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,ROBERT BRUCE C,Indian National Congress,499493,2803,502296,47.06
2.0,NAINAR NAGENTHRAN,Bharatiya Janata Party,334431,2245,336676,31.54
3.0,JANSI RANI M,All India Anna Dravida Munnetra Kazhagam,88996,605,89601,8.39
4.0,SATHYA,Naam Tamilar Katchi,86918,768,87686,8.21
5.0,POTTAL SUNDARA MUNISWARAN,Independent,19802,50,19852,1.86
6.0,ATHISAYAM V,Independent,3744,37,3781,0.35
7.0,BALASUBRAMANIAN,Bahujan Samaj Party,2044,23,2067,0.19
8.0,CHINNA MAHARAJA K,Independent,1888,7,1895,0.18
9.0,DAVID M,Independent,1829,7,1836,0.17
10.0,SAMUEL LAWRENCE PONNIAH,Independent,1493,4,1497,0.14
11.0,BISHOP DR GODFREY WASHINGTON NOBLE,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1457,18,1475,0.14
12.0,LENIN K,Independent,1441,9,1450,0.14
13.0,CHANDRAN M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1409,4,1413,0.13
14.0,SELVA KUMAR S,Bahujan Dravida Party,1317,29,1346,0.13
15.0,KUMAR V,Puthiya Makkal Tamil Desam Katchi,1057,15,1072,0.1
16.0,MUTHURAMAN A,Aravor Munnetra Kazhagam,1046,2,1048,0.1
17.0,THALAPATHY MURUGAN M,Independent,913,4,917,0.09
18.0,SIVARAM K,Independent,855,20,875,0.08
19.0,RAMAKRISHNAN N,Nam India Naam Indiyar Katchi,790,-,790,0.07
20.0,SURESH,Independent,777,11,788,0.07
21.0,DR RAJENDRA RETNAM K,Independent,685,4,689,0.06
22.0,SEVAL KANNAN B ADVOCATE,Independent,622,14,636,0.06
23.0,RAGHAVAN C M,Independent,364,2,366,0.03
24.0,NOTA,None of the Above,7285,111,7396,0.69
,Total,,1060656,6792,1067448,
