S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,Sasikanth Senthil,Indian National Congress,794608,2348,796956,56.21
2.0,"Balaganapathy, V. Pon",Bharatiya Janata Party,224042,759,224801,15.86
3.0,"Nallathambi, K.",Desiya Murpokku Dravida Kazhagam,223550,354,223904,15.79
4.0,"Jagadesh Chander, M.",Naam Tamilar Katchi,120620,218,120838,8.52
5.0,"Tamizhmadhi, D.",Bahujan Samaj Party,13772,38,13810,0.97
6.0,"Ashok Priyadarshan, S.",Desiya Makkal Sakthi Katchi,2937,9,2946,0.21
7.0,Malathi,Naadaalum Makkal Katchi,2829,24,2853,0.2
8.0,"Mani, E.",Independent,2745,7,2752,0.19
9.0,"Devandhran, M.",Anna MGR Dravida Makkal Kalgam,2001,7,2008,0.14
10.0,"Manimaran, V.",Independent,1921,1,1922,0.14
11.0,"Balakrishnan, K.",Independent,1685,5,1690,0.12
12.0,"Bharathidasan, S.S.",Independent,1619,12,1631,0.12
13.0,"Shakthivel, A.J.",Independent,1605,8,1613,0.11
14.0,"Sivasankaran, V.",Independent,1105,5,1110,0.08
15.0,NOTA,None of the Above,18908,70,18978,1.34
,Total,,1413947,3865,1417812,
