S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,474230,2803,477033,41.39
2.0,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,404503,1827,406330,35.25
3.0,MURALI SANKAR. S,Pattali Makkal Katchi,180020,1862,181882,15.78
4.0,KALANCHIYAM. M,Naam Tamilar Katchi,56766,476,57242,4.97
5.0,KARUNCHIRUTHAI KALIYAMURTHY. K,Bahujan Samaj Party,3883,37,3920,0.34
6.0,ARUMUGAM. M,United Republican Party of India,3487,17,3504,0.3
7.0,DHARMA. K,Independent,2375,7,2382,0.21
8.0,VIVEKANANDHAN. E,Independent,1945,8,1953,0.17
9.0,ARASAN. K,Independent,1835,7,1842,0.16
10.0,VIGNESVARAN. R,Independent,1643,13,1656,0.14
11.0,SURESH. S,Independent,1374,23,1397,0.12
12.0,PERIYAN. A,Independent,1041,8,1049,0.09
13.0,GUNASEKARAN. K,Independent,960,3,963,0.08
14.0,VIJAYAN. A,Independent,859,2,861,0.07
15.0,NAGARAJ. A,Independent,669,5,674,0.06
16.0,SURESH. K,Independent,592,6,598,0.05
17.0,SATHIYARAJ. N,Independent,412,3,415,0.04
18.0,NOTA,None of the Above,8874,92,8966,0.78
,Total,,1145468,7199,1152667,
