S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,MANICKAM TAGORE B,Indian National Congress,382876,2380,385256,36.28
2.0,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,378243,2634,380877,35.87
3.0,RADIKAA R,Bharatiya Janata Party,164149,2122,166271,15.66
4.0,KAUSHIK S,Naam Tamilar Katchi,76122,909,77031,7.25
5.0,RAJESH,Independent,6167,6,6173,0.58
6.0,ASHOK KUMAR M,Bharatiya Praja Aikyata Party,5228,65,5293,0.5
7.0,SEKAR S,Hindu Samaj Party,3436,10,3446,0.32
8.0,MANIKANDAN M,Independent,3341,5,3346,0.32
9.0,MAYAK KANNAN,Independent,2749,2,2751,0.26
10.0,MAHENDRA RAMAKRISHNAN P,Independent,2404,1,2405,0.23
11.0,SURESH,Bahujan Samaj Party,2378,19,2397,0.23
12.0,SELVI K,Independent,2165,23,2188,0.21
13.0,PANDIYAMMAL R,Independent,2128,5,2133,0.2
14.0,SUDALAIMANI M,Independent,1357,2,1359,0.13
15.0,PALANICHAMY P,Bahujan Dravida Party,1261,2,1263,0.12
16.0,PALANISAMY K,Independent,1251,6,1257,0.12
17.0,VENKATESWARAN V K,Independent,1242,5,1247,0.12
18.0,SELVARAJAN V V,Independent,1120,1,1121,0.11
19.0,MARIEESWARI M,Independent,1100,10,1110,0.1
20.0,SANKARANARAYANAN N,Independent,994,4,998,0.09
21.0,SELVAKUMAR M,Independent,896,6,902,0.08
22.0,MUTHUKANNU C,Tamilaga Makkal Nala Katchi,753,8,761,0.07
23.0,MARISELVAM S,All India People Development Party,708,3,711,0.07
24.0,JEYARAJ T,Independent,602,8,610,0.06
25.0,VEDHA @ DHAMODHARAN,Independent,599,1,600,0.06
26.0,RAJAGOPAL S,Independent,525,2,527,0.05
27.0,GANESHAMOORTHI G,Independent,457,3,460,0.04
28.0,NOTA,None of the Above,9256,152,9408,0.89
,Total,,1053507,8394,1061901,
