S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,BANDI SANJAY KUMAR,Bharatiya Janata Party,578827,6289,585116,44.57
2.0,VELCHALA RAJENDER RAO,Indian National Congress,357446,2461,359907,27.41
3.0,VINOD KUMAR BOIANAPALLI,Bharat Rashtra Samithi,280867,1296,282163,21.49
4.0,ABBADI BUCHI REDDY,Independent,11602,10,11612,0.88
5.0,ARUNA THALLAPALLY,Alliance of Democratic Reforms Party,9043,21,9064,0.69
6.0,KOTA SHYAM KUMAR,Independent,8744,12,8756,0.67
7.0,ANOSE KATKOORI,Independent,8699,7,8706,0.66
8.0,MAREPALLI MOGILAIAH,Bahujan Samaj Party,8010,99,8109,0.62
9.0,RAJENDER POTHURI,Independent,3250,7,3257,0.25
10.0,SRAVAN PEDDAPELLY,Bharathiya YuvaKula Dalam,3068,6,3074,0.23
11.0,GADDA SATHISH,Independent,2936,9,2945,0.22
12.0,ANILREDDY KADTHALA,National Nava Kranthi Party,2747,7,2754,0.21
13.0,CHILUVERU SRIKANTH,Dharma Samaj Party,2553,33,2586,0.2
14.0,AKSHAY KUMAR MEKALA,Independent,2219,5,2224,0.17
15.0,JOURNALIST VIKRAM REDDY VEMULAA,Independent,2090,6,2096,0.16
16.0,ASHOK PANCHIKA,Social Justice Party of India,1914,10,1924,0.15
17.0,GAVVALA LAXMI,Independent,1738,6,1744,0.13
18.0,GATTAIAH YADAV BARIGE,Independent,1688,6,1694,0.13
19.0,RANAPRATAP GATTU,Socialist Party (India),1606,7,1613,0.12
20.0,GUDISHE MOHAN,Independent,1471,3,1474,0.11
21.0,MANASA PERALA,Independent,1106,19,1125,0.09
22.0,PODISHETTI SAMMAIAH,Bahujan Mukti Party,994,-,994,0.08
23.0,VENKATANARSAIAH DYAGALA @ DEGALA,Independent,926,2,928,0.07
24.0,SHIVARATRI SRINIVAS,Independent,887,2,889,0.07
25.0,CHINTHA ANILKUMAR,Pyramid Party of India,823,7,830,0.06
26.0,CHEEKOTI VARUN KUMAR GUPTA,Telugu Congress Party,783,7,790,0.06
27.0,RAPOLE RAMKUMAR BHARADWAJ,Independent,572,3,575,0.04
28.0,DEVUNOORI SRINIVASU,Independent,465,-,465,0.04
29.0,NOTA,None of the Above,5373,65,5438,0.41
,Total,,1302447,10405,1312852,
