S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,SURESH KUMAR SHETKAR,Indian National Congress,523919,4499,528418,42.73
2.0,B. B. PATIL,Bharatiya Janata Party,476023,6207,482230,39.0
3.0,ANILKUMAR GALI,Bharat Rashtra Samithi,171412,666,172078,13.92
4.0,KOTHA BALIJA BASWARAJ,Telangana Praja Shakthi Party,8362,11,8373,0.68
5.0,CHAVAGANI MANI,Alliance of Democratic Reforms Party,6295,14,6309,0.51
6.0,YAKUB SHARIF MD,Independent,5484,5,5489,0.44
7.0,MAHADHEV SWAMI MATAM,Independent,5408,4,5412,0.44
8.0,B. MARUTHI RAO,Independent,4248,4,4252,0.34
9.0,S. RAJU,Independent,3511,3,3514,0.28
10.0,SATYANARAYANA GOUD KOVURI,Independent,2875,1,2876,0.23
11.0,RAMESH. SAJJAPUR.,Independent,2477,2,2479,0.2
12.0,KAMMARI ANANDEESHWAR,Independent,2381,3,2384,0.19
13.0,JAIPAL NAYAK JADAVATH,Independent,2217,51,2268,0.18
14.0,GURRAPU MACHANDER,All India Forward Bloc,1760,9,1769,0.14
15.0,T.D.S. MANI,Dharma Samaj Party,1628,27,1655,0.13
16.0,MOHD SADDAM,Independent,1567,1,1568,0.13
17.0,MALEPU MOHAN REDDY,Pyramid Party of India,1095,7,1102,0.09
18.0,ASHOK TALARI,Independent,831,6,837,0.07
19.0,ROMALA BABU DURGAIAH,India Praja Bandhu Party,601,2,603,0.05
20.0,NOTA,None of the Above,2933,44,2977,0.24
,Total,,1225027,11566,1236593,
