S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,KANWAR SINGH TANWAR,Bharatiya Janata Party,475210,1296,476506,42.9
2.0,KUNWAR DANISH ALI,Indian National Congress,447343,493,447836,40.32
3.0,MUJAHID HUSAIN,Bahujan Samaj Party,163885,214,164099,14.77
4.0,DHANISH,Independent,3615,2,3617,0.33
5.0,SURESH,Independent,2716,1,2717,0.24
6.0,JEETPAL RANA,Independent,2550,6,2556,0.23
7.0,SUHEL HAIDER,Akhil Bhartiya Parivar Party,2492,12,2504,0.23
8.0,NARENDRA SINGH,Independent,1776,3,1779,0.16
9.0,NAEEMUDDIN,Independent,1002,2,1004,0.09
10.0,KUSHAGRA,Independent,856,2,858,0.08
11.0,KASHIF HUSAIN,Independent,677,2,679,0.06
12.0,KUMDESH KUMAR,Independent,627,8,635,0.06
13.0,NOTA,None of the Above,5886,14,5900,0.53
,Total,,1108635,2055,1110690,
