S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,KAMLESH PASWAN,Bharatiya Janata Party,427528,1165,428693,45.38
2.0,SADAL PRASAD,Indian National Congress,423872,1671,425543,45.04
3.0,RAMSAMUJH,Bahujan Samaj Party,64567,183,64750,6.85
4.0,GAYA PRASAD,Independent,6629,9,6638,0.7
5.0,SHRVAN KUMAR NIRALA,Independent,4139,3,4142,0.44
6.0,HEERALAL,Independent,2597,-,2597,0.27
7.0,MURLI DHAR,Independent,1741,4,1745,0.18
8.0,RAJENDRA CHAUDHARI,Independent,1629,5,1634,0.17
9.0,NOTA,None of the Above,9006,15,9021,0.95
,Total,,941708,3055,944763,
