S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,AJENDRA SINGH LODHI,Samajwadi Party,490003,680,490683,44.0
2.0,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,487373,681,488054,43.76
3.0,NIRDOSH KUMAR DIXIT,Bahujan Samaj Party,94564,132,94696,8.49
4.0,ANUPAM KUMAR TRIPATHI,Bhartiya Shakti Chetna Party,6401,6,6407,0.57
5.0,BRIJESH KUMAR PAL,Rashtra Uday Party,4516,11,4527,0.41
6.0,BHUVANENDRA NARAYAN SINGH,Independent,4315,5,4320,0.39
7.0,SANTOSH KUMAR,Independent,3776,1,3777,0.34
8.0,RAJESH SINGH,Independent,3605,2,3607,0.32
9.0,SURESH KUMAR,Eklavya Samaj Party,2181,-,2181,0.2
10.0,SANJIV KUMAR,Spashtwadi Jan Aadhar Party,2003,-,2003,0.18
11.0,DHARMRAJ,Al-Hind Party,1589,2,1591,0.14
12.0,NOTA,None of the Above,13442,11,13453,1.21
,Total,,1113768,1531,1115299,
