S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,JAI PRAKASH,Bharatiya Janata Party,485745,1053,486798,44.25
2.0,USHA VERMA,Samajwadi Party,457553,1389,458942,41.72
3.0,BHIMRAO AMBEDKAR,Bahujan Samaj Party,122334,295,122629,11.15
4.0,SHIVE KUMAR,Independent,4897,1,4898,0.45
5.0,SHYAM KUMAR,Peoples Party of India (Democratic),4196,4,4200,0.38
6.0,SUNIL KUMAR VERMA,Independent,3819,2,3821,0.35
7.0,INDRAPAL PASI,Justice Party,2945,1,2946,0.27
8.0,MUNNA LAL,Naari Nar Rakshak Party,1588,1,1589,0.14
9.0,OM PRAKASH,Independent,1559,2,1561,0.14
10.0,AWADESH KUMAR,Independent,1420,4,1424,0.13
11.0,PRADEEP KUMAR,Bhartiya Krishak Dal,1349,5,1354,0.12
12.0,BRAHMA PRASAD,Lok Jan Sangharsh Party,1139,1,1140,0.1
13.0,NOTA,None of the Above,8778,36,8814,0.8
,Total,,1097322,2794,1100116,
