S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,552334,2412,554746,51.24
2.0,JASVEER VALMIKI,Samajwadi Party,306637,791,307428,28.39
3.0,HEMBABOO DHANGAR,Bahujan Samaj Party,200876,387,201263,18.59
4.0,JAYPAL MAHOR,Independent,3044,17,3061,0.28
5.0,RAJPAL SINGH,Independent,2361,11,2372,0.22
6.0,GHANSHYAM SINGH,Swaraj Bhartiya Nyay Party,2329,16,2345,0.22
7.0,RAVI KUMAR,Independent,1638,7,1645,0.15
8.0,DR. JAYVEER SINGH DHANGAR,Rashtra Uday Party,1591,16,1607,0.15
9.0,DINESH SAI,Independent,1140,4,1144,0.11
10.0,MUNNALAL JATAV,Independent,803,7,810,0.07
11.0,NOTA,None of the Above,6257,42,6299,0.58
,Total,,1079010,3710,1082720,
