S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,RAJ NATH SINGH,Bharatiya Janata Party,610597,2112,612709,53.89
2.0,RAVIDAS MEHROTRA,Samajwadi Party,476303,1247,477550,42.0
3.0,MOHAMMAD SARWAR MALIK,Bahujan Samaj Party,29982,210,30192,2.66
4.0,MO AHMAD URF RINKU,Social Democratic Party Of India,3251,4,3255,0.29
5.0,AKHAND PRATAP SINGH,Independent,1465,8,1473,0.13
6.0,SARVAR ALI,Sarvar Party,1199,3,1202,0.11
7.0,ISHTIYAQ ALI,Independent,929,5,934,0.08
8.0,KAPIL MOHAN CHOWDHARY,Mera Adhikaar Rashtriya Dal,815,2,817,0.07
9.0,GAURAV VERMA,Hindu Samaj Party,801,6,807,0.07
10.0,BRIJESH KUMAR YADAV,Kisan Vishwa Party,601,2,603,0.05
11.0,NOTA,None of the Above,7316,34,7350,0.65
,Total,,1133259,3633,1136892,
