S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,PRIYA SAROJ,Samajwadi Party,449561,1731,451292,42.57
2.0,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,414494,948,415442,39.19
3.0,KRIPA SHANKAR SAROJ,Bahujan Samaj Party,156930,361,157291,14.84
4.0,SHRAVAN KUMAR,Independent,5804,3,5807,0.55
5.0,URMILA,Samaj Parivartan Party,5296,7,5303,0.5
6.0,SUBAS,Independent,3691,2,3693,0.35
7.0,RANG BAHADUR,Independent,2715,3,2718,0.26
8.0,BRIJESH KUMAR SAROJ,Prabuddhwadi Bahujan Morcha,2365,-,2365,0.22
9.0,RAJENDRA PRASAD,Rashtra Uday Party,2066,1,2067,0.19
10.0,RAM MILAN,Sardar Patel Siddhant Party,1713,3,1716,0.16
11.0,KAMLESH,Azad Samaj Party,1698,4,1702,0.16
12.0,BRIJESH KUMAR,Prithviraj Janshakti Party,1362,2,1364,0.13
13.0,NOTA,None of the Above,9277,26,9303,0.88
,Total,,1056972,3091,1060063,
