S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,DIMPLE YADAV,Samajwadi Party,596710,1816,598526,56.79
2.0,JAYVEER SINGH,Bharatiya Janata Party,375895,992,376887,35.76
3.0,SHIV PRASAD YADAV,Bahujan Samaj Party,66697,117,66814,6.34
4.0,SURESH CHANDRA,Independent,2366,8,2374,0.23
5.0,NAND RAM BAGRI,Voters Party International,1765,4,1769,0.17
6.0,MANJU PAL,Bhartiya Shakti Chetna Party,1148,23,1171,0.11
7.0,PRAMOD KUMAR,Independent,994,12,1006,0.1
8.0,SUNIL KUMAR MISHRA,Sarva Samaj Janata Party,878,4,882,0.08
9.0,NOTA,None of the Above,4570,12,4582,0.43
,Total,,1051023,2988,1054011,
