S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,RAHUL GANDHI,Indian National Congress,686044,1605,687649,66.17
2.0,DINESH PRATAP SINGH,Bharatiya Janata Party,296703,916,297619,28.64
3.0,THAKUR PRASAD YADAV,Bahujan Samaj Party,21588,36,21624,2.08
4.0,DILEEP SINGH,Akhil Bhartiya Apna Dal,8676,2,8678,0.84
5.0,HORILAL,Independent,5397,2,5399,0.52
6.0,SUDARSHAN RAM,Bhartiya Panchsheel Party,4343,2,4345,0.42
7.0,HIND ROHITASH,Manavtawadi Samaj Party,3859,-,3859,0.37
8.0,MO MOBIN,Apna Dal (Kamerawadi),2173,1,2174,0.21
9.0,NOTA,None of the Above,7861,11,7872,0.76
,Total,,1036644,2575,1039219,
