S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,RAMBHUAL NISHAD,Samajwadi Party,442886,1444,444330,43.0
2.0,MANEKA SANJAY GANDHI,Bharatiya Janata Party,399859,1297,401156,38.82
3.0,UDRAJ VERMA,Bahujan Samaj Party,162603,422,163025,15.78
4.0,ABDUL MABOOD,Apna Desh Party,4295,2,4297,0.42
5.0,MOHAMMAD ASIF,Independent,3382,5,3387,0.33
6.0,UDAYRAJ VERMA,Independent,2900,9,2909,0.28
7.0,GIRISH LAL,Azad Party,2305,6,2311,0.22
8.0,DR SHIV SHANKAR INDIAN,Most Backward Classes Of India,2085,5,2090,0.2
9.0,JAY PRAKASH,Sardar Patel Siddhant Party,1364,5,1369,0.13
10.0,NOTA,None of the Above,8500,13,8513,0.82
,Total,,1030179,3208,1033387,
