S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,PATHAN YUSUF,All India Trinamool Congress,523630,886,524516,37.88
2.0,ADHIR RANJAN CHOWDHURY,Indian National Congress,438171,1323,439494,31.74
3.0,DR. NIRMAL KUMAR SAHA,Bharatiya Janata Party,370370,1515,371885,26.86
4.0,SAMIRAN DAS,Independent,18526,1,18527,1.34
5.0,SWAPAN KUMAR MANDAL,Independent,6394,2,6396,0.46
6.0,SANTOSH BISWAS,Bahujan Samaj Party,4219,19,4238,0.31
7.0,BISWAMVOIR KALITA,Independent,3060,2,3062,0.22
8.0,SOMNATH PAUL,All India Arya Mahasabha,2250,-,2250,0.16
9.0,RUNA LAILA,Social Democratic Party Of India,1569,2,1571,0.11
10.0,ABHIJIT MANDAL,Socialist Unity Centre Of India (COMMUNIST),1410,8,1418,0.1
11.0,ASHIS DAS,Independent,1106,4,1110,0.08
12.0,ADHIR SWARNAKAR,Independent,851,5,856,0.06
13.0,AJIT KUMAR MANDAL,Independent,745,4,749,0.05
14.0,MANIK KUMAR DAS,Jai Prakash Janata Dal,729,-,729,0.05
15.0,AABDUSA SATTAR SEKH,Indian National Socialistic Action Forces,477,7,484,0.03
16.0,NOTA,None of the Above,7474,11,7485,0.54
,Total,,1380981,3789,1384770,
