S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,AZAD KIRTI JHA,All India Trinamool Congress,717069,3598,720667,47.99
2.0,DILIP GHOSH,Bharatiya Janata Party,579609,3077,582686,38.8
3.0,SUKRITI GHOSAL,Communist Party of India (Marxist),152851,978,153829,10.24
4.0,LUXMI NARAYAN KORA,Independent,7138,4,7142,0.48
5.0,PRABHU NATH SAH,Bahujan Samaj Party,6822,34,6856,0.46
6.0,TASBIRUL ISLAM,Socialist Unity Centre Of India (COMMUNIST),3450,19,3469,0.23
7.0,REENA LEONG,Independent,3100,11,3111,0.21
8.0,MIR SAKIMUDDIN,The National Road Map Party of India,2413,5,2418,0.16
9.0,NOTA,None of the Above,21532,63,21595,1.44
,Total,,1493984,7789,1501773,
