S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,SOUGATA RAY,All India Trinamool Congress,526289,2290,528579,41.95
2.0,SILBHADRA DATTA,Bharatiya Janata Party,456138,1781,457919,36.34
3.0,SUJAN CHAKRABORTY,Communist Party of India (Marxist),239418,1366,240784,19.11
4.0,SHEKH IMANUR RAHMAN,Independent,6410,1,6411,0.51
5.0,SWAMINATH KORI,Bahujan Samaj Party,3749,17,3766,0.3
6.0,HIRAK SINHA,Independent,3144,3,3147,0.25
7.0,BANAMALI PANDA,Socialist Unity Centre Of India (COMMUNIST),1728,11,1739,0.14
8.0,DULU DEY,Independent,1688,6,1694,0.13
9.0,MANIKA MUKHERJEE,Bharatiya Nyay-Adhikar Raksha Party,1231,6,1237,0.1
10.0,SANTANU MANDAL,Democratic Socialist Party of India,880,5,885,0.07
11.0,TRIDIB BHUNIA,Independent,765,7,772,0.06
12.0,GOURI BISWAS,Independent,698,3,701,0.06
13.0,SUBRATA BHOWMIK,Mera Bharat Mahan Party,602,2,604,0.05
14.0,HARI PADA BISWAS,Mulnibasi Party of India,465,9,474,0.04
15.0,NOTA,None of the Above,11256,78,11334,0.9
,Total,,1254461,5585,1260046,
