S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,JUNE MALIAH,All India Trinamool Congress,699562,2630,702192,47.4
2.0,AGNIMITRA PAUL,Bharatiya Janata Party,671328,3673,675001,45.56
3.0,BIPLAB BHATTA,Communist Party of India,57345,440,57785,3.9
4.0,ANINDITA JANA,Socialist Unity Centre Of India (COMMUNIST),9744,47,9791,0.66
5.0,SANJIB DEY,Independent,8703,8,8711,0.59
6.0,ANJAN (BABALU) MANDAL,Bahujan Samaj Party,6483,20,6503,0.44
7.0,KAMALESH MAHATA,Independent,4229,21,4250,0.29
8.0,SUKESH CHANDRA PALMAL,Independent,2757,5,2762,0.19
9.0,BISWAJIT DAS,Independent,2141,3,2144,0.14
10.0,NOTA,None of the Above,12362,62,12424,0.84
,Total,,1474654,6909,1481563,
