S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,SATPAL BRAHAMCHARI,Indian National Congress,546163,2519,548682,48.82
2.0,MOHAN LAL BADOLI,Bharatiya Janata Party,525069,1797,526866,46.88
3.0,UMESH KUMAR,Bahujan Samaj Party,12742,80,12822,1.14
4.0,ANOOP SINGH,Indian National Lok Dal,11384,139,11523,1.03
5.0,BHUPENDER SINGH MALIK,Jannayak Janta Party,7716,104,7820,0.7
6.0,SANT DHARAMVEER CHOTIVALA,Independent,2150,4,2154,0.19
7.0,RAMESH,Independent,1651,-,1651,0.15
8.0,NARESH KASHYAP,Aam Aadmi Parivartan Party,1622,36,1658,0.15
9.0,SATPAL,Independent,1215,2,1217,0.11
10.0,GAUBHAGAT SUMIT LATHER,Independent,877,5,882,0.08
11.0,DR. KAMLESH KUMAR SAINI,Independent,863,3,866,0.08
12.0,ROHTASH,Independent,775,2,777,0.07
13.0,BALBIR SINGH,Socialist Unity Centre Of India (COMMUNIST),765,3,768,0.07
14.0,ASHWANI,Independent,694,1,695,0.06
15.0,SANJAY DASS,Independent,569,3,572,0.05
16.0,JAGBEER,Independent,521,3,524,0.05
17.0,SUNIL KUMAR,Rashtriya Garib Dal,456,11,467,0.04
18.0,RADHEY SHYAM,Peoples Party of India (Democratic),438,3,441,0.04
19.0,RAKESH,Samata Party,407,3,410,0.04
20.0,NIRMAL SINGH,Independent,317,1,318,0.03
21.0,SURENDER SINGH,Independent,295,1,296,0.03
22.0,RAKESH DHARIWAL,Rashtriya Jatigat Aarakshan Virodhi Party,214,1,215,0.02
23.0,NOTA,None of the Above,2287,33,2320,0.21
,Total,,1119190,4754,1123944,
