S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,CHANDRA PRAKASH CHOUDHARY,AJSU Party,447896,3243,451139,35.67
2.0,MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha,367197,3062,370259,29.27
3.0,JAIRAM KUMAR MAHATO,Independent,342241,5081,347322,27.46
4.0,KAMAL PRASAD,Bahujan Samaj Party,13971,103,14074,1.11
5.0,SUBODH KUMAR YADAV,Independent,13093,13,13106,1.04
6.0,RAMESHWAR DUSADH,Independent,11011,9,11020,0.87
7.0,SUNITA TUDU,Independent,10899,45,10944,0.87
8.0,MD AINUL ANSARI,Bahujan Mukti Party,6919,20,6939,0.55
9.0,DWARAKA PRASAD LALA,Independent,5617,10,5627,0.44
10.0,KALAWATI DEVI,Independent,5414,16,5430,0.43
11.0,GYANESHWAR PRASAD,Lokhit Adhikar Party,5348,8,5356,0.42
12.0,SHIVJI PRASAD,Right to Recall Party,4248,6,4254,0.34
13.0,PRAMOD RAM,Peoples Party of India (Democratic),3805,20,3825,0.3
14.0,USHA SINGH,Independent,3703,58,3761,0.3
15.0,PAPPU KUMAR NISHAD,Bhartiya Lokmat Rashtrwadi Party,3203,13,3216,0.25
16.0,SUBHASH KUMAR THAKUR,Sarv Samaj Party,2513,4,2517,0.2
17.0,NOTA,None of the Above,5927,117,6044,0.48
,Total,,1253005,11828,1264833,
