S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,NISHIKANT DUBEY,Bharatiya Janata Party,688879,4261,693140,49.57
2.0,PRADEEP YADAV,Indian National Congress,586104,5223,591327,42.29
3.0,UDAY SHANKAR KHAWARE,Independent,26831,6,26837,1.92
4.0,ARUN MARIK,Independent,17436,1,17437,1.25
5.0,NILESH KUMAR GUPTA,Independent,10485,3,10488,0.75
6.0,AVISEK ANAND JHA,Independent,9601,35,9636,0.69
7.0,BAJRANGI MAHTHA,Bahujan Samaj Party,8151,24,8175,0.58
8.0,MUKESH KUMAR JHA,Independent,7366,-,7366,0.53
9.0,KUMARI DILESHWARI,Ambedkarite Party of India,6578,3,6581,0.47
10.0,RAMESHWAR MANDAL,Peoples Party of India (Democratic),3315,1,3316,0.24
11.0,SURAJ KUMAR AMAN,Bhagidari Party(P),3070,3,3073,0.22
12.0,ARUN KUMAR,Nyaydharmsabha,2891,2,2893,0.21
13.0,DR. K. RANGAIAH,Independent,2205,5,2210,0.16
14.0,BRAJKISHORE PANDIT,Akhil Bhartiya Manavadhikar Vichar Manch Party,2102,6,2108,0.15
15.0,ANUP KUMAR,"Proutist Bloc, India",2003,4,2007,0.14
16.0,KALIPADA MURMU,Socialist Unity Centre Of India (COMMUNIST),1935,6,1941,0.14
17.0,KETAN KUMAR,Right to Recall Party,1896,2,1898,0.14
18.0,TIPLAL SAH,Lokhit Adhikar Party,1765,5,1770,0.13
19.0,GYANESHWAR JHA,Jagrook Janta Party,1637,3,1640,0.12
20.0,NOTA,None of the Above,4309,52,4361,0.31
,Total,,1388559,9645,1398204,
