S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,BIDYUT BARAN MAHATO,Bharatiya Janata Party,719891,6283,726174,56.84
2.0,SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,459997,6395,466392,36.5
3.0,INDRA DEO PRASAD,Independent,8463,6,8469,0.66
4.0,ARUN MAHATO,Independent,7337,7,7344,0.57
5.0,ANAND MUKHI,Independent,6346,6,6352,0.5
6.0,PRANAV KUMAR MAHTO,Bahujan Samaj Party,6090,61,6151,0.48
7.0,BISHWANATH MAHATO,Independent,5226,105,5331,0.42
8.0,ANGAD MAHATO,Amra Bangalee,4898,27,4925,0.39
9.0,JUJHAR SOREN,Independent,4262,53,4315,0.34
10.0,SUKUMAR SOREN,Bharat Adivasi Party,3860,34,3894,0.3
11.0,DHARMU TUDU,Ambedkarite Party of India,3274,17,3291,0.26
12.0,JITENDRA SINGH,Independent,3159,8,3167,0.25
13.0,SANAKA MAHATO,Socialist Unity Centre Of India (COMMUNIST),3137,38,3175,0.25
14.0,MANOJ GUPTA,Lokhit Adhikar Party,2355,7,2362,0.18
15.0,SADHU CHARAN PAUL,Independent,2291,26,2317,0.18
16.0,SAURAV VISHNU,Independent,2234,30,2264,0.18
17.0,SHAIKH AKHIRUDDIN,Bahujan Maha Party,2099,9,2108,0.16
18.0,ASHOK KUMAR,Peoples Party of India (Democratic),2038,10,2048,0.16
19.0,MAHESH KUMAR,Right to Recall Party,1952,8,1960,0.15
20.0,G JAYRAM DAS,Independent,1927,4,1931,0.15
21.0,ARUN KUMAR SHARMA,Bhartiya Azad Sena,1797,4,1801,0.14
22.0,DOMAN CHANDRA BHAKAT,Bhagidari Party(P),1343,5,1348,0.11
23.0,BABLU PRASAD DANGI,Independent,1144,8,1152,0.09
24.0,GYAN SAGAR PRASAD,Independent,1043,1,1044,0.08
25.0,PARWATI KISKU,Independent,972,16,988,0.08
26.0,NOTA,None of the Above,7105,221,7326,0.57
,Total,,1264240,13389,1277629,
