S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,667441,3598,671039,50.93
2.0,SAMYUKTA SHIVANAND PATIL,Indian National Congress,600741,1899,602640,45.74
3.0,NAGARAJ. S. KALKUTAGAR,Independent,5628,1,5629,0.43
4.0,PARASHURAM. LAXMAN. NEELANAIK,Independent,5084,6,5090,0.39
5.0,ANTHOSH SAVVASE,Uttama Prajaakeeya Party,4909,14,4923,0.37
6.0,JYOTI GULEDGUDDA,Independent,4636,9,4645,0.35
7.0,M. B. SIDAGONI,Bahujan Samaj Party,4453,26,4479,0.34
8.0,DR. MUTTU. S. SURAKOD. (MADAR),Independent,3131,4,3135,0.24
9.0,PRASHANT RAO,Independent,1909,5,1914,0.15
10.0,DATTATREYA DASHARATHA TAVARE,Independent,1607,13,1620,0.12
11.0,AMBROSE D' MELLO,Independent,1203,2,1205,0.09
12.0,KENGANAL. MALLIKARJUN. BHIMAPPA,Independent,1189,18,1207,0.09
13.0,MALLIKARJUN H. T.,Socialist Unity Centre Of India (COMMUNIST),1137,7,1144,0.09
14.0,RAJESAB BURANSAB. MASALI,Independent,988,4,992,0.08
15.0,SHARANAPPA MALLAPPA KOTLANNAVAR,Independent,830,2,832,0.06
16.0,RAVI SHIVAPPA PADASALAGI,Independent,654,2,656,0.05
17.0,SAIYYAD IMAMSAB JAKALI,Tipu Sultan Party,546,4,550,0.04
18.0,ABDULAZIZ KALADAGI PENDARI,Independent,524,5,529,0.04
19.0,MUTTAPPA MUDAKAPPA HIREKUMBI,Raita Bharat Party,509,9,518,0.04
20.0,SAGAR. BASAPPA. KUMBAR,Karnataka Rashtra Samithi,494,5,499,0.04
21.0,S. M. MARIGOUDAR,Desh Prem Party,451,3,454,0.03
22.0,SHANKAR. VENKAPPA. NAIKAR.,Republican Party of India (A),431,10,441,0.03
23.0,NOTA,None of the Above,3398,22,3420,0.26
,Total,,1311893,5668,1317561,
